timestamp,MSE
17.21,715.81537
17.259,724.7353
17.312,729.90533
17.36,729.49255
17.411,719.0493
17.46,720.1144
17.509,719.17004
17.561,742.002
17.609,746.93787
17.659,733.7731
17.713,740.9655
17.76,722.1796
17.812,747.5106
17.859,749.7926
17.91,746.7816
17.962,743.23505
18.011,751.5852
18.059,766.6805
18.113,765.83716
18.164,748.75555
18.214,755.402
18.259,736.4853
18.31,741.14935
18.36,749.8383
18.41,754.698
18.46,764.291
18.512,769.5823
18.563,771.7607
18.611,767.5051
18.66,768.9141
18.71,776.3966
18.759,800.28
18.809,792.15784
18.86,798.128
18.915,798.50775
18.963,826.45276
19.011,807.9554
19.058,820.05273
19.11,815.27277
19.161,812.72766
19.21,833.8793
19.26,841.78174
19.317,849.79156
19.364,855.2466
19.411,860.3098
19.461,874.05316
19.509,878.984
19.559,896.18713
19.61,900.7907
19.659,921.47217
19.713,906.0802
19.765,937.748
19.81,922.8603
19.86,949.49615
19.911,976.6509
19.959,1005.57263
20.011,1000.9387
20.061,1001.16833
20.111,1011.0372
20.162,1019.4461
20.212,1026.599
20.259,1040.8433
20.311,1066.6736
20.361,1088.0272
20.412,1102.5233
20.46,1101.0455
20.511,1115.3279
20.562,1123.7107
20.611,1124.426
20.661,1115.9618
20.711,1112.849
20.759,1123.1771
20.812,1128.3909
20.859,1127.5347
20.913,1129.6716
20.962,1129.9678
21.01,1115.8866
21.059,1112.3708
21.111,1114.5723
21.161,1093.5968
21.21,1090.166
21.26,1071.3583
21.315,1070.1444
21.362,1062.5703
21.412,1053.8467
21.459,1041.797
21.51,1036.9415
21.562,1014.5653
21.611,995.9682
21.66,962.6719
21.713,943.72797
21.76,909.6489
21.811,884.5021
21.861,868.8039
21.909,857.71014
21.96,853.68176
22.011,855.09094
22.063,857.2195
22.116,857.97144
22.161,864.90936
22.211,882.1836
22.261,898.88226
22.309,923.202
22.361,942.06445
22.41,956.3193
22.468,975.72577
22.513,986.5777
22.562,1001.91486
22.61,1003.06366
22.66,1006.00964
22.711,1018.1758
22.761,1031.4948
22.81,1037.3722
22.863,1035.9552
22.915,1036.8729
22.96,1034.3044
23.011,1023.4044
23.061,1019.50507
23.11,1002.3246
23.161,985.7457
23.215,936.87823
23.263,888.44916
23.316,846.6774
23.361,822.1223
23.411,880.7761
23.459,938.87463
23.51,989.9855
23.56,1026.3488
23.61,1033.419
23.666,1039.0795
23.714,1035.1444
23.76,1023.4613
23.81,1011.0657
23.861,984.9057
23.91,920.70654
23.961,900.34064
24.01,877.74164
24.066,882.59845
24.114,903.3371
24.16,934.6233
24.21,956.99255
24.261,981.7282
24.31,995.5345
24.361,995.7133
24.412,990.6829
24.466,980.0747
