timestamp,x,y,z,quat_x,quat_y,quat_z,quat_w,vx,vy,vz,wx,wy,wz,Husky_x,Husky_y,Husky_z
145.725,0.3791078765790461,-0.0019059085244738662,6.006392196931236,1.2448211011840716e-06,3.532854916628547e-05,-0.0016661423886332166,0.9999986113589784,0.0,0.0,1.0,0.0,0.0,0.0,0.0006698373317988206,1.116414518404765e-08,0.0
145.735,0.37914762491660525,-0.0019058773895802986,6.016492600202795,1.2272695396720165e-06,3.491914843813972e-05,-0.0016661413317431131,0.9999986113751407,0.0,0.0,1.0,0.0,0.0,0.0,0.0006698974154929229,1.1165213526025069e-08,0.0
145.745,0.3791874096479956,-0.0019058487789615902,6.0265928004074825,1.2101910133426091e-06,3.451836445402774e-05,-0.00166614028058239,0.9999986113908277,0.0,0.0,1.0,0.0,0.0,0.0,0.0006698974154929229,1.1165213526025069e-08,0.0
145.755,0.37922722995231023,-0.0019058226560607215,6.036692797955946,1.193596349714654e-06,3.412580686064016e-05,-0.001666139235120754,0.9999986114060629,0.0,0.0,1.0,0.0,0.0,0.0,0.000669957499848547,1.116628188117163e-08,0.0
145.765,0.379267085025563,-0.0019057989853172863,6.046792593258004,1.1774948366081257e-06,3.374108130400177e-05,-0.001666138195328099,0.9999986114208695,0.0,0.0,1.0,0.0,0.0,0.0,0.000669957499848547,1.116628188117163e-08,0.0
145.775,0.37930697407989605,-0.0019057777321834207,6.05689218672264,1.1618942349595476e-06,3.3363790633234825e-05,-0.001666137161174503,0.9999986114352698,0.0,0.0,1.0,0.0,0.0,0.0,0.0006700175848657297,1.1167350249488028e-08,0.0
145.785,0.3793468963427822,-0.0019057588631367433,6.066991578758014,1.1468007957085534e-06,3.2993536081636765e-05,-0.001666136132630228,0.9999986114492855,0.0,0.0,1.0,0.0,0.0,0.0,0.0006700175848657297,1.1167350249488028e-08,0.0
145.795,0.3793868510562246,-0.001905742345690346,6.077090769771455,1.1322192806017364e-06,3.262991842219619e-05,-0.0016661351096657158,0.9999986114629376,0.0,0.0,1.0,0.0,0.0,0.0,0.0006700776705445075,1.1168418630974957e-08,0.0
145.805,0.3794268374759565,-0.0019057281483998857,6.087189760169467,1.1181529867525888e-06,3.2272539094821184e-05,-0.0016661340922515867,0.9999986114762458,0.0,0.0,1.0,0.0,0.0,0.0,0.0006700776705445075,1.1168418630974957e-08,0.0
145.815,0.3794668548706427,-0.0019057162408678296,6.0972885503577325,1.1046037747896186e-06,3.19210013027056e-05,-0.0016661330803586381,0.9999986114892301,0.0,0.0,1.0,0.0,0.0,0.0,0.0006701377568848071,1.1169487025631158e-08,0.0
145.825,0.37950690252108527,-0.0019057065937449088,6.107387140741112,1.0915721004187115e-06,3.15749110754165e-05,-0.0016661320739578406,0.9999986115019089,0.0,0.0,1.0,0.0,0.0,0.0,0.0006701377568848071,1.1169487025631158e-08,0.0
145.835,0.37954697971943563,-0.0019056991787288547,6.117485531723645,1.0790570492204532e-06,3.123387829644519e-05,-0.0016661310730203365,0.9999986115143001,0.0,0.0,1.0,0.0,0.0,0.0,0.000670197843886702,1.1170555433457979e-08,0.0
145.845,0.37958708576841477,-0.0019056939685604907,6.127583723708544,1.0670563744983858e-06,3.0897517693126376e-05,-0.0016661300775174363,0.9999986115264209,0.0,0.0,1.0,0.0,0.0,0.0,0.000670197843886702,1.1170555433457979e-08,0.0
145.855,0.3796272199805431,-0.0019056909370172507,6.137681717098217,1.0555665379901306e-06,3.056544978699421e-05,-0.0016661290874206175,0.9999986115382877,0.0,0.0,1.0,0.0,0.0,0.0,0.0006702579315501553,1.1171623854454803e-08,0.0
145.865,0.3796673816773838,-0.0019056900589042177,6.147779512294248,1.0445827532498804e-06,3.023730180280982e-05,-0.001666128102701519,0.9999986115499161,0.0,0.0,1.0,0.0,0.0,0.0,0.0006702579315501553,1.1171623854454803e-08,0.0
145.875,0.37970757018879875,-0.001905691310042768,6.157877109697409,1.0340990315080103e-06,2.991270853466081e-05,-0.001666127123331941,0.9999986115613209,0.0,0.0,1.0,0.0,0.0,0.0,0.0006703180198751671,1.1172692288621674e-08,0.0
145.885,0.37974778485222016,-0.0019056946672569106,6.167974509707661,1.024108229811398e-06,2.9591313167700937e-05,-0.0016661261492838413,0.9999986115725162,0.0,0.0,1.0,0.0,0.0,0.0,0.0006703180198751671,1.1172692288621674e-08,0.0
145.895,0.37978802501194,-0.0019057001083574298,6.1780717127241465,1.0146021012465318e-06,2.927276805426414e-05,-0.0016661251805293307,0.9999986115835154,0.0,0.0,1.0,0.0,0.0,0.0,0.000670378108861774,1.1173760735959291e-08,0.0
145.905,0.37982829001841756,-0.0019057076121239227,6.18816871914521,1.0055713470465873e-06,2.8956735443254292e-05,-0.0016661242170406723,0.9999986115943311,0.0,0.0,1.0,0.0,0.0,0.0,0.000670378108861774,1.1173760735959291e-08,0.0
145.915,0.37986857922760764,-0.001905717158284844,6.1982655293683795,9.970056703833266e-07,2.8642888161876365e-05,-0.0016661232587902777,0.999998611604975,0.0,0.0,1.0,0.0,0.0,0.0,0.0006704381985099395,1.1174829196467041e-08,0.0
145.925,0.3799088920003093,-0.0019057287274956605,6.208362143790381,9.888938316449653e-07,2.833091024893917e-05,-0.0016661223057507022,0.9999986116154582,0.0,0.0,1.0,0.0,0.0,0.0,0.0006704381985099395,1.1174829196467041e-08,0.0
145.935,0.37994922770153844,-0.0019057423013152325,6.218458562807136,9.812237050019799e-07,2.802049753912112e-05,-0.001666121357894644,0.9999986116257912,0.0,0.0,1.0,0.0,0.0,0.0,0.0006704982888197367,1.1175897670146262e-08,0.0
