timestamp,x,y,z,quat_x,quat_y,quat_z,quat_w,vx,vy,vz,wx,wy,wz,Husky_x,Husky_y,Husky_z
219.375,0.3843212965996806,-0.0026552154531583826,7.00502434148554,-2.957749919841232e-06,3.676368323763341e-06,0.0004560197484719711,0.9999998960118572,0.0,0.0,1.0,0.0,0.0,0.0,0.0009594654417142511,-1.0523880143775275e-08,0.0
219.385,0.3843614752270682,-0.002655164398111778,7.015107367180493,-2.922928403327855e-06,3.4424663475807733e-06,0.0004560220328401485,0.9999998960117504,0.0,0.0,1.0,0.0,0.0,0.0,0.0009595286243888447,-1.0524587184917495e-08,0.0
219.395,0.3844016277728601,-0.0026551077041393318,7.025190224947506,-2.8881166240516115e-06,3.2125357974150003e-06,0.0004560243039685346,0.9999998960115809,0.0,0.0,1.0,0.0,0.0,0.0,0.0009595286243888447,-1.0524587184917495e-08,0.0
219.405,0.3844417538047604,-0.002655045443671793,7.035272915126187,-2.8533506706279433e-06,2.9865572084132997e-06,0.000456026561934227,0.9999998960113515,0.0,0.0,1.0,0.0,0.0,0.0,0.0009595918077601538,-1.0525294232302335e-08,0.0
219.415,0.3844818528986307,-0.0026549776889881163,7.045355438055459,-2.818665992606672e-06,2.7645054135995066e-06,0.0004560288068140117,0.9999998960110648,0.0,0.0,1.0,0.0,0.0,0.0,0.0009595918077601538,-1.0525294232302335e-08,0.0
219.425,0.3845219246384339,-0.0026549045121467695,7.055437794073558,-2.784097312510771e-06,2.546349727151855e-06,0.00045603103868436303,0.9999998960107229,0.0,0.0,1.0,0.0,0.0,0.0,0.0009596549918280677,-1.0526001285928505e-08,0.0
219.435,0.384561968616167,-0.002654825984918508,7.065519983518036,-2.749678542253247e-06,2.3320541393405986e-06,0.00045603325762144534,0.999999896010329,0.0,0.0,1.0,0.0,0.0,0.0,0.0009596549918280677,-1.0526001285928505e-08,0.0
219.445,0.38460198443178356,-0.0026547421787207945,7.075602006725768,-2.715442704060454e-06,2.1215775222530246e-06,0.00045603546370111183,0.9999998960098853,0.0,0.0,1.0,0.0,0.0,0.0,0.00095971817659266,-1.0526708345796767e-08,0.0
219.455,0.3846419716931053,-0.002654653164553991,7.0856838640329425,-2.6814218560138743e-06,1.9148738454243254e-06,0.0004560376569989049,0.999999896009394,0.0,0.0,1.0,0.0,0.0,0.0,0.00095971817659266,-1.0526708345796767e-08,0.0
219.465,0.3846819300157253,-0.0026545590129394858,7.0957655557750705,-2.6476470223061244e-06,1.7118924004863702e-06,0.0004560398375900554,0.9999998960088576,0.0,0.0,1.0,0.0,0.0,0.0,0.0009597813620539308,-1.0527415411907077e-08,0.0
219.475,0.3847218590229013,-0.002654459793859887,7.105847082286983,-2.614148128290853e-06,1.5125780339429562e-06,0.0004560420055494822,0.9999998960082784,0.0,0.0,1.0,0.0,0.0,0.0,0.0009597813620539308,-1.0527415411907077e-08,0.0
219.485,0.3847617583454408,-0.0026543555767013925,7.1159284439028365,-2.580953940390276e-06,1.3168713871791855e-06,0.00045604416095178934,0.9999998960076585,0.0,0.0,1.0,0.0,0.0,0.0,0.0009598445482118798,-1.0528122484259366e-08,0.0
219.495,0.38480162762157677,-0.002654246430198464,7.1260096409561084,-2.548092010908436e-06,1.124709142814387e-06,0.00045604630387126603,0.9999998960070001,0.0,0.0,1.0,0.0,0.0,0.0,0.0009598445482118798,-1.0528122484259366e-08,0.0
219.505,0.3848414664968375,-0.002654132422380917,7.136090673779609,-2.5155886277828037e-06,9.360242765123649e-07,0.000456048434381884,0.9999998960063052,0.0,0.0,1.0,0.0,0.0,0.0,0.0009599077350665073,-1.0528829562853582e-08,0.0
219.515,0.3848812746239075,-0.002654013620523498,7.146171542705466,-2.4834687692917767e-06,7.507463133695342e-07,0.00045605055255729495,0.9999998960055757,0.0,0.0,1.0,0.0,0.0,0.0,0.0009599077350665073,-1.0528829562853582e-08,0.0
219.525,0.3849210516624831,-0.0026538900910980548,7.156252248065144,-2.4517560637208216e-06,5.688015880107984e-07,0.0004560526584708287,0.9999998960048136,0.0,0.0,1.0,0.0,0.0,0.0,0.0009599709226178133,-1.0529536647689682e-08,0.0
219.535,0.3849607972791205,-0.002653761899728376,7.166332790189432,-2.4204727539756148e-06,3.901135075344242e-07,0.00045605475219549,0.9999998960040208,0.0,0.0,1.0,0.0,0.0,0.0,0.0009599709226178133,-1.0529536647689682e-08,0.0
219.545,0.38500051114707945,-0.002653629111147752,7.176413169408448,-2.389639667116556e-06,2.1460281646112304e-07,0.0004560568338039558,0.9999998960031986,0.0,0.0,1.0,0.0,0.0,0.0,0.0009600341108658342,-1.0530243738768025e-08,0.0
219.555,0.3850401929461609,-0.002653491789159323,7.186493386051651,-2.3592761887754528e-06,4.218786285824645e-08,0.0004560589033685727,0.9999998960023491,0.0,0.0,1.0,0.0,0.0,0.0,0.0009600341108658342,-1.0530243738768025e-08,0.0
219.565,0.3850798423625404,-0.002653349996599264,7.196573440447823,-2.329400242402079e-06,-1.27215135172013e-07,0.0004560609609613524,0.9999998960014735,0.0,0.0,1.0,0.0,0.0,0.0,0.0009600972998105335,-1.0530950836088169e-08,0.0
219.575,0.3851194590885978,-0.0026532037953028416,7.206653332925089,-2.3000282732757367e-06,-2.936918234317054e-07,0.0004560630066539693,0.9999998960005735,0.0,0.0,1.0,0.0,0.0,0.0,0.0009600972998105335,-1.0530950836088169e-08,0.0
