timestamp,x,y,z,vx,vy,vz,wx,wy,wz
23.94,-1.0204054023061877,-0.9960873513912561,7.002349776815911,0.0,0.0,1.0,0.0,0.0,0.0
23.95,-1.020367689192501,-0.9960882696203245,7.012423621429579,0.0,0.0,1.0,0.0,0.0,0.0
23.96,-1.020330021884194,-0.9960891875337367,7.02249731668251,0.0,0.0,1.0,0.0,0.0,0.0
23.97,-1.0202924005410998,-0.9960901051223819,7.03257086287674,0.0,0.0,1.0,0.0,0.0,0.0
23.98,-1.0202548253226766,-0.9960910223773745,7.042644260313695,0.0,0.0,1.0,0.0,0.0,0.0
23.99,-1.020217296387972,-0.9960919392900391,7.0527175092941965,0.0,0.0,1.0,0.0,0.0,0.0
24.0,-1.0201798138955813,-0.9960928558518994,7.06279061011845,0.0,0.0,1.0,0.0,0.0,0.0
24.01,-1.0201423780036023,-0.9960937720546632,7.072863563086058,0.0,0.0,1.0,0.0,0.0,0.0
24.02,-1.0201049888695868,-0.9960946878902105,7.08293636849602,0.0,0.0,1.0,0.0,0.0,0.0
24.03,-1.020067646650489,-0.9960956033505817,7.093009026646725,0.0,0.0,1.0,0.0,0.0,0.0
24.04,-1.02003035150261,-0.9960965184279638,7.103081537835966,0.0,0.0,1.0,0.0,0.0,0.0
24.05,-1.0199931035815393,-0.9960974331146782,7.113153902360929,0.0,0.0,1.0,0.0,0.0,0.0
24.06,-1.0199559030420962,-0.9960983474031693,7.123226120518202,0.0,0.0,1.0,0.0,0.0,0.0
24.07,-1.0199187500382652,-0.9960992612859918,7.133298192603772,0.0,0.0,1.0,0.0,0.0,0.0
24.08,-1.0198816447231334,-0.9961001747557999,7.143370118913027,0.0,0.0,1.0,0.0,0.0,0.0
24.09,-1.0198445872488224,-0.9961010878053359,7.153441899740763,0.0,0.0,1.0,0.0,0.0,0.0
24.1,-1.019807577766423,-0.9961020004274189,7.163513535381174,0.0,0.0,1.0,0.0,0.0,0.0
24.11,-1.0197706164259255,-0.9961029126149352,7.173585026127865,0.0,0.0,1.0,0.0,0.0,0.0
24.12,-1.0197337033761495,-0.9961038243608268,7.183656372273845,0.0,0.0,1.0,0.0,0.0,0.0
24.13,-1.0196968387646768,-0.9961047356580828,7.193727574111529,0.0,0.0,1.0,0.0,0.0,0.0
24.14,-1.0196600227377786,-0.9961056464997295,7.203798631932747,0.0,0.0,1.0,0.0,0.0,0.0
24.15,-1.019623255440347,-0.9961065568788219,7.213869546028734,0.0,0.0,1.0,0.0,0.0,0.0
24.16,-1.0195865370158255,-0.9961074667884339,7.223940316690139,0.0,0.0,1.0,0.0,0.0,0.0
24.17,-1.0195498676061392,-0.9961083762216526,7.234010944207022,0.0,0.0,1.0,0.0,0.0,0.0
24.18,-1.019513247351626,-0.9961092851715679,7.24408142886886,0.0,0.0,1.0,0.0,0.0,0.0
24.19,-1.01947667639097,-0.996110193631268,7.254151770964544,0.0,0.0,1.0,0.0,0.0,0.0
24.2,-1.0194401546207095,-0.9961111013031135,7.2642168981642765,0.18920588493347168,0.42196550965309143,-1.0245548486709595,0.0,0.0,-0.0066308677196502686
24.21,-1.019403642996415,-0.9961119325411629,7.274156217526207,0.18920588493347168,0.42196550965309143,-1.0245548486709595,0.0,0.0,-0.0066308677196502686
24.22,-1.0193669060913824,-0.9961122099204135,7.283827816117319,0.19121535122394562,0.4116527736186981,-1.077872633934021,0.0,0.0,-0.005412191152572632
24.23,-1.0193294780310431,-0.9961109873104634,7.293118410952763,0.19121535122394562,0.4116527736186981,-1.077872633934021,0.0,0.0,-0.005412191152572632
24.24,-1.0192907478564528,-0.9961070348042361,7.301940128072126,0.19121535122394562,0.4116527736186981,-1.077872633934021,0.0,0.0,-0.005412191152572632
24.25,-1.0192500329225491,-0.9960989897506064,7.310227159872428,0.19121535122394562,0.4116527736186981,-1.077872633934021,0.0,0.0,-0.005412191152572632
24.26,-1.0192066129619985,-0.9960854192787799,7.31793168834847,0.19121535122394562,0.4116527736186981,-1.077872633934021,0.0,0.0,-0.005412191152572632
24.27,-1.019159730523335,-0.9960648140238165,7.3250205079170305,0.19399473071098328,0.4040965139865875,-1.0986868143081665,0.0,0.0,-0.0025521814823150635
24.28,-1.0191085723629139,-0.9960355455256843,7.331472179615959,0.19399473071098328,0.4040965139865875,-1.0986868143081665,0.0,0.0,-0.0025521814823150635
24.29,-1.0190522607490105,-0.9959958479544336,7.337273588011217,0.19399473071098328,0.4040965139865875,-1.0986868143081665,0.0,0.0,-0.0025521814823150635
24.3,-1.018989817444213,-0.9959437498877355,7.342419008409438,0.19399473071098328,0.4040965139865875,-1.0986868143081665,0.0,0.0,-0.0025521814823150635
24.31,-1.0189201323198496,-0.9958770166698043,7.346909084815341,0.19399473071098328,0.4040965139865875,-1.0986868143081665,0.0,0.0,-0.0025521814823150635
24.32,-1.018841936048907,-0.9957930996877505,7.350749853089463,0.20367662608623505,0.39603522419929504,-0.9519484043121338,0.0,0.0,-0.021327227354049683
24.33,-1.0187535501359393,-0.9956886372312412,7.353959642514658,0.20367662608623505,0.39603522419929504,-0.9519484043121338,0.0,0.0,-0.021327227354049683
24.34,-1.018653030840666,-0.9955597667528475,7.35656134934221,0.20367662608623505,0.39603522419929504,-0.9519484043121338,0.0,0.0,-0.021327227354049683
24.35,-1.0185382874328657,-0.9954023816324115,7.358577872853664,0.20367662608623505,0.39603522419929504,-0.9519484043121338,0.0,0.0,-0.021327227354049683
24.36,-1.018407100471498,-0.9952121762101359,7.360031927629826,0.20367662608623505,0.39603522419929504,-0.9519484043121338,0.0,0.0,-0.021327227354049683
24.37,-1.0182571356095793,-0.9949846770065841,7.360946043884399,0.21176579594612122,0.3850182592868805,-0.8939064741134644,0.0,0.0,-0.026566535234451294
24.38,-1.01808581673042,-0.9947149962154763,7.361345623199141,0.21176579594612122,0.3850182592868805,-0.8939064741134644,0.0,0.0,-0.026566535234451294
24.39,-1.0178904517436052,-0.9943980976551197,7.36125616251258,0.21176579594612122,0.3850182592868805,-0.8939064741134644,0.0,0.0,-0.026566535234451294
24.4,-1.017668327310031,-0.9940289918988519,7.360701700488854,0.21176579594612122,0.3850182592868805,-0.8939064741134644,0.0,0.0,-0.026566535234451294
24.41,-1.0174167288379994,-0.9936027713206417,7.359704962485251,0.21176579594612122,0.3850182592868805,-0.8939064741134644,0.0,0.0,-0.026566535234451294
24.42,-1.0171329569315586,-0.9931146375257355,7.358287471282812,0.2238905131816864,0.3964182138442993,-0.8923035860061646,0.0,0.0,-0.01497986912727356
24.43,-1.0168143382109862,-0.9925599179083613,7.356469719555512,0.2238905131816864,0.3964182138442993,-0.8923035860061646,0.0,0.0,-0.01497986912727356
24.44,-1.0164582370048418,-0.9919340903806347,7.354271173392737,0.2238905131816864,0.3964182138442993,-0.8923035860061646,0.0,0.0,-0.01497986912727356
24.45,-1.0160620651791108,-0.9912328030619517,7.351710298581554,0.2238905131816864,0.3964182138442993,-0.8923035860061646,0.0,0.0,-0.01497986912727356
24.46,-1.0156232936844856,-0.9904518912227218,7.348804627086167,0.2238905131816864,0.3964182138442993,-0.8923035860061646,0.0,0.0,-0.01497986912727356
24.47,-1.0151394578185353,-0.9895873799730157,7.345570928632141,0.23422615230083466,0.33917778730392456,-0.8482959270477295,0.0,0.0,-0.010328799486160278
24.48,-1.014607996935749,-0.9886351944161391,7.342027667908266,0.23422615230083466,0.33917778730392456,-0.8482959270477295,0.0,0.0,-0.010328799486160278
24.49,-1.014026398996996,-0.9875914874366679,7.338193018577944,0.23422615230083466,0.33917778730392456,-0.8482959270477295,0.0,0.0,-0.010328799486160278
24.5,-1.013392290018655,-0.9864528559446811,7.334083769655851,0.23422615230083466,0.33917778730392456,-0.8482959270477295,0.0,0.0,-0.010328799486160278
