timestamp,e_v_x,e_v_y,e_v_a,e_alpha
22.809,[ 0.63197279  0.55769813 -1.58802696],[ 0.95389438  0.87961972 -1.26610537],[3.86055551 3.78628085 1.64055576],[3.76880327]
22.858,[ 0.62316893  0.54889427 -1.59683081],[ 0.94311827  0.86884362 -1.27688147],[3.81608273 3.74180807 1.59608298],[3.74888748]
22.911,[ 0.61362295  0.53934829 -1.6063768 ],[ 0.93228717  0.85801251 -1.28771258],[3.77540021 3.70112556 1.55540047],[3.7362145]
22.96,[ 0.60247071  0.52819605 -1.61752904],[ 0.92098402  0.84670936 -1.29901573],[3.73620564 3.66193098 1.51620589],[3.72727051]
23.013,[ 0.59254541  0.51827075 -1.62745434],[ 0.91086365  0.83658899 -1.30913609],[3.69269682 3.61842216 1.47269707],[3.72509828]
23.06,[ 0.58098992  0.50671526 -1.63900983],[ 0.89825873  0.82398407 -1.32174101],[3.65251727 3.57824261 1.43251752],[3.72384889]
23.109,[ 0.57115621  0.49688155 -1.64884354],[ 0.88760123  0.81332657 -1.33239852],[3.61076779 3.53649313 1.39076804],[3.72621085]
23.157,[ 0.56287748  0.48860283 -1.65712226],[ 0.87656907  0.80229441 -1.34343067],[3.57086499 3.49659033 1.35086524],[3.72505393]
23.212,[ 0.55397733  0.47970267 -1.66602242],[ 0.86495076  0.7906761  -1.35504899],[3.53253416 3.4582595  1.31253442],[3.72284444]
23.261,[ 0.54336328  0.46908862 -1.67663647],[ 0.85132419  0.77704953 -1.36867556],[3.49029578 3.41602112 1.27029603],[3.71543054]
23.308,[ 0.53520472  0.46093006 -1.68479503],[ 0.84022527  0.76595061 -1.37977448],[3.45208764 3.37781298 1.2320879 ],[3.70950384]
23.362,[ 0.52448385  0.45020919 -1.69551589],[ 0.82899601  0.75472135 -1.39100374],[3.41321695 3.33894229 1.19321721],[3.708864]
23.411,[ 0.51579631  0.44152165 -1.70420343],[ 0.8187086   0.74443394 -1.40129115],[3.3710361  3.29676145 1.15103636],[3.70655411]
23.46,[ 0.51019398  0.43591932 -1.70980577],[ 0.81034916  0.7360745  -1.40965059],[3.33351718 3.25924252 1.11351743],[3.70255819]
23.508,[ 0.50183097  0.42755631 -1.71816878],[ 0.79974718  0.72547252 -1.42025257],[3.29184797 3.21757331 1.07184822],[3.69542209]
23.561,[ 0.49446259  0.42018793 -1.72553716],[ 0.79044337  0.71616871 -1.42955638],[3.25354084 3.17926618 1.03354109],[3.69021497]
23.608,[ 0.48721103  0.41293637 -1.73278872],[ 0.78071494  0.70644028 -1.43928481],[3.21338399 3.13910934 0.99338425],[3.680869]
23.656,[ 0.47994526  0.4056706  -1.74005449],[ 0.77103395  0.69675929 -1.4489658 ],[3.17430115 3.10002649 0.9543014 ],[3.67063932]
23.71,[ 0.47281539  0.39854073 -1.74718436],[ 0.76083895  0.68656429 -1.4591608 ],[3.13624686 3.0619722  0.91624711],[3.6565538]
23.76,[ 0.4658571   0.39158244 -1.75414265],[ 0.7506854   0.67641074 -1.46931435],[3.09968496 3.0254103  0.87968521],[3.63890365]
23.817,[ 0.46017867  0.38590401 -1.75982108],[ 0.74131963  0.66704497 -1.47868011],[3.06114676 2.9868721  0.84114701],[3.6164804]
23.863,[ 0.45249884  0.37822418 -1.76750091],[ 0.73298299  0.65870833 -1.48701676],[3.02352067 2.94924601 0.80352092],[3.60544238]
23.912,[ 0.44485061  0.37057595 -1.77514914],[ 0.72379339  0.64951873 -1.49620636],[2.98707737 2.91280271 0.76707762],[3.59380046]
23.969,[ 0.43635585  0.36208119 -1.7836439 ],[ 0.71202133  0.63774667 -1.50797842],[2.9494347  2.87516004 0.72943495],[3.57667411]
24.01,[ 0.42695359  0.35267894 -1.79304615],[ 0.7017016   0.62742694 -1.51829815],[2.91407831 2.83980365 0.69407857],[3.57110485]
24.063,[ 0.41964786  0.34537321 -1.80035188],[ 0.69016693  0.61589227 -1.52983282],[2.88029217 2.80601751 0.66029243],[3.55256477]
24.109,[ 0.41125032  0.33697567 -1.80874942],[ 0.67920064  0.60492598 -1.54079911],[2.84553209 2.77125743 0.62553234],[3.54008361]
24.163,[ 0.40397029  0.32969563 -1.81602946],[ 0.66798595  0.59371129 -1.5520138 ],[2.81525682 2.74098216 0.59525707],[3.52683954]
24.212,[ 0.39582989  0.32155523 -1.82416986],[ 0.65718354  0.58290889 -1.5628162 ],[2.78383    2.70955534 0.56383025],[3.5230165]
