timestamp,e_v_x,e_v_y,e_v_a,e_alpha
100.192,[ 1.21296598  1.13869133 -2.00703376],[ 1.31175199  1.23747734 -1.90824775],[6.5680675  6.49379284 3.34806775],[3.50235266]
100.266,[ 1.15175271  1.07747805 -2.06824703],[ 1.3075425   1.23326784 -1.91245725],[6.54144977 6.46717511 3.32145002],[3.63167156]
100.339,[ 1.0325524   0.95827774 -2.18744735],[ 1.26003183  1.18575717 -1.95996792],[6.48732321 6.41304856 3.26732347],[3.80684926]
100.405,[ 0.95294103  0.87866637 -2.26705872],[ 1.21793986  1.14366521 -2.00205988],[6.47064866 6.396374   3.25064891],[3.90600084]
100.471,[ 0.88434522  0.81007056 -2.33565453],[ 1.17881066  1.104536   -2.04118909],[6.4514665  6.37719184 3.23146675],[3.99166083]
100.534,[ 0.78872822  0.71445356 -2.43127152],[ 1.05707566  0.982801   -2.16292409],[6.38920055 6.31492589 3.16920081],[3.91341842]
100.598,[ 0.77717103  0.70289637 -2.44282872],[ 1.02190341  0.94762875 -2.19809634],[6.33842063 6.26414597 3.11842088],[3.8485703]
100.66,[ 0.77285554  0.69858088 -2.4471442 ],[ 0.99464842  0.92037376 -2.22535132],[6.30841515 6.23414049 3.08841541],[3.79168355]
100.724,[ 0.76097446  0.6866998  -2.45902528],[ 0.81507461  0.74079995 -2.40492514],[6.12972168 6.05544702 2.90972193],[3.44216745]
100.788,[ 0.80944311  0.73516845 -2.41055664],[ 0.77825433  0.70397967 -2.44174542],[6.08881749 6.01454283 2.86881774],[3.30323852]
100.867,[ 0.89269198  0.81841732 -2.32730776],[ 0.76677497  0.69250031 -2.45322478],[6.03607929 5.96180463 2.81607954],[3.15519341]
100.937,[ 0.91833038  0.84405573 -2.30166936],[ 0.75463233  0.68035767 -2.46536741],[5.91198644 5.83771178 2.69198669],[3.10736506]
100.999,[ 0.93543009  0.86115543 -2.28456966],[ 0.78829726  0.71402261 -2.43170248],[5.86016713 5.78589247 2.64016738],[3.10955344]
101.066,[ 0.94648149  0.87220683 -2.27351826],[ 0.83315035  0.75887569 -2.3868494 ],[5.80882059 5.73454593 2.58882084],[3.12999124]
101.138,[ 0.94171247  0.86743781 -2.27828728],[ 0.87093875  0.79666409 -2.349061  ],[5.76171537 5.68744071 2.54171562],[3.18086488]
101.21,[ 0.91047993  0.83620527 -2.30951982],[ 0.86489244  0.79061778 -2.35510731],[5.73471155 5.66043689 2.5147118 ],[3.20594388]
101.274,[ 0.87487659  0.80060193 -2.34512315],[ 0.84749989  0.77322523 -2.37249986],[5.71159052 5.63731586 2.49159077],[3.2174466]
101.346,[ 0.82502429  0.75074964 -2.39497545],[ 0.83246858  0.75819392 -2.38753117],[5.69387861 5.61960395 2.47387886],[3.26595716]
101.417,[ 0.78920599  0.71493133 -2.43079376],[ 0.84583451  0.77155985 -2.37416523],[5.66888489 5.59461023 2.44888514],[3.34307257]
101.481,[ 0.75797825  0.68370359 -2.4620215 ],[ 0.86397786  0.7897032  -2.35602189],[5.64544467 5.57117001 2.42544492],[3.43871669]
101.559,[ 0.72700987  0.65273521 -2.49298988],[ 0.94451128  0.87023662 -2.27548846],[5.55047522 5.47620056 2.33047547],[3.64155756]
101.639,[ 0.69729125  0.62301659 -2.52270849],[ 0.93581522  0.86154056 -2.28418453],[5.51854015 5.44426549 2.29854041],[3.72989706]
101.703,[ 0.65854944  0.58427478 -2.5614503 ],[ 0.89640723  0.82213257 -2.32359251],[5.52587127 5.45159661 2.30587152],[3.70288084]
101.771,[ 0.65759099  0.58331634 -2.56240875],[ 0.88399613  0.80972147 -2.33600362],[5.48827298 5.41399832 2.26827323],[3.68634792]
101.844,[ 0.68147272  0.60719806 -2.53852702],[ 0.89677021  0.82249556 -2.32322953],[5.45869287 5.38441821 2.23869312],[3.65797456]
101.915,[ 0.72010841  0.64583376 -2.49989133],[ 0.91644975  0.84217509 -2.30354999],[5.42483293 5.35055827 2.20483318],[3.59757569]
101.986,[ 0.77103498  0.69676032 -2.44896477],[ 0.86189959  0.78762493 -2.35810016],[5.29648281 5.22220815 2.07648306],[3.37695902]
102.049,[ 0.76442748  0.69015282 -2.45557227],[ 0.84475087  0.77047621 -2.37524888],[5.26596332 5.19168866 2.04596357],[3.37644753]
102.121,[ 0.73958929  0.66531463 -2.48041046],[ 0.82327672  0.74900207 -2.39672302],[5.2189342  5.14465954 1.99893445],[3.42354685]
102.198,[ 0.72768894  0.65341428 -2.49231081],[ 0.81185549  0.73758083 -2.40814426],[5.17242901 5.09815435 1.95242926],[3.39759381]
102.262,[ 0.70792916  0.6336545  -2.51207058],[ 0.78541991  0.71114525 -2.43457984],[5.15072147 5.07644681 1.93072172],[3.41444504]
102.324,[ 0.67074573  0.59647107 -2.54925402],[ 0.75920972  0.68493506 -2.46079003],[5.10678174 5.03250708 1.88678199],[3.40203503]
102.388,[ 0.55586611  0.48159145 -2.66413364],[ 0.66580226  0.5915276  -2.55419749],[5.09070413 5.01642947 1.87070438],[3.47031069]
102.453,[ 0.51592565  0.44165099 -2.7040741 ],[ 0.63239745  0.55812279 -2.5876023 ],[5.0309187  4.95664404 1.81091896],[3.46369959]
102.519,[ 0.49773747  0.42346281 -2.72226228],[ 0.61609238  0.54181772 -2.60390736],[4.99313617 4.91886151 1.77313642],[3.49793781]
102.585,[ 0.39856789  0.32429324 -2.82143185],[ 0.55142786  0.4771532  -2.66857189],[4.96073324 4.88645858 1.74073349],[3.51304535]
102.657,[ 0.34788607  0.27361141 -2.87211368],[ 0.51721322  0.44293856 -2.70278653],[4.90217099 4.82789633 1.68217125],[3.55505425]
102.721,[ 0.33362395  0.25934929 -2.8863758 ],[ 0.49998808  0.42571342 -2.72001167],[4.87468243 4.80040777 1.65468268],[3.57600729]
102.793,[ 0.31550475  0.24123009 -2.904495  ],[ 0.48211748  0.40784282 -2.73788227],[4.83872209 4.76444743 1.61872234],[3.55741705]
102.864,[ 0.34965992  0.27538526 -2.87033982],[ 0.50021239  0.42593773 -2.71978736],[4.80546376 4.7311891  1.58546401],[3.52875049]
102.932,[ 0.36231555  0.28804089 -2.8576842 ],[ 0.51061362  0.43633896 -2.70938612],[4.81453925 4.74026459 1.5945395 ],[3.50381155]
102.999,[ 0.36919705  0.2949224  -2.85080269],[ 0.51312538  0.43885072 -2.70687437],[4.77603545 4.70176079 1.5560357 ],[3.47757807]
103.065,[ 0.38690589  0.31263123 -2.83309386],[ 0.51336782  0.43909316 -2.70663193],[4.71265851 4.63838385 1.49265876],[3.4493492]
103.141,[ 0.39258882  0.31831416 -2.82741093],[ 0.5091672   0.43489255 -2.71083254],[4.73298294 4.65870828 1.51298319],[3.43093751]
103.213,[ 0.43245614  0.35818148 -2.78754361],[ 0.49309117  0.41881651 -2.72690858],[4.66983066 4.59555601 1.44983092],[3.31118774]
103.285,[ 0.44195419  0.36767953 -2.77804555],[ 0.49505642  0.42078176 -2.72494332],[4.65977691 4.58550225 1.43977717],[3.29909107]
103.345,[ 0.46413348  0.38985882 -2.75586626],[ 0.49378957  0.41951491 -2.72621017],[4.67545609 4.60118143 1.45545634],[3.25391031]
103.423,[ 0.5020608   0.42778614 -2.71793895],[ 0.52521069  0.45093603 -2.69478906],[4.57262488 4.49835022 1.35262513],[3.23986347]
103.499,[ 0.48051553  0.40624087 -2.73948422],[ 0.5031732   0.42889854 -2.71682655],[4.55910861 4.48483395 1.33910886],[3.24204223]
103.565,[ 0.46887553  0.39460087 -2.75112421],[ 0.4902478   0.41597314 -2.72975195],[4.55742249 4.48314783 1.33742274],[3.2579216]
103.629,[ 0.40970303  0.33542837 -2.81029672],[ 0.45324946  0.3789748  -2.76675029],[4.5214601  4.44718544 1.30146035],[3.30441759]
103.699,[ 0.38898054  0.31470588 -2.83101921],[ 0.44748423  0.37320957 -2.77251552],[4.52018178 4.44590712 1.30018203],[3.34895324]
103.758,[ 0.36682356  0.29254891 -2.85317618],[ 0.43468163  0.36040697 -2.78531811],[4.49768695 4.42341229 1.2776872 ],[3.38914726]
103.822,[ 0.34706643  0.27279177 -2.87293332],[ 0.41042597  0.33615131 -2.80957378],[4.4893596  4.41508494 1.26935985],[3.40689395]
103.886,[ 0.30793498  0.23366032 -2.91206477],[ 0.37193994  0.29766528 -2.8480598 ],[4.47929554 4.40502088 1.2592958 ],[3.40969771]
103.953,[ 0.29040867  0.21613402 -2.92959107],[ 0.34150768  0.26723302 -2.87849207],[4.47157674 4.39730209 1.251577  ],[3.38490608]
104.015,[ 0.29451564  0.22024098 -2.92548411],[ 0.32068938  0.24641472 -2.89931037],[4.4492845  4.37500984 1.22928476],[3.33807183]
104.081,[ 0.32257057  0.24829591 -2.89742918],[ 0.31428359  0.24000893 -2.90571615],[4.43972136 4.3654467  1.21972161],[3.26971356]
104.16,[ 0.34587213  0.27159747 -2.87412762],[ 0.31406404  0.23978938 -2.90593571],[4.40763995 4.33336529 1.1876402 ],[3.20588163]
104.233,[ 0.34765212  0.27337747 -2.87234762],[ 0.30455367  0.23027901 -2.91544608],[4.37736141 4.30308675 1.15736166],[3.18381018]
104.293,[ 0.34989315  0.27561849 -2.8701066 ],[ 0.30451314  0.23023848 -2.91548661],[4.3680098  4.29373514 1.14801005],[3.16990372]
104.362,[ 0.3604047   0.28613004 -2.85959504],[ 0.31477893  0.24050427 -2.90522081],[4.33451314 4.26023848 1.11451339],[3.19517657]
104.427,[ 0.37521264  0.30093798 -2.84478711],[ 0.33783338  0.26355872 -2.88216636],[4.32651199 4.25223733 1.10651224],[3.18770117]
104.49,[ 0.38008014  0.30580548 -2.83991961],[ 0.35740602  0.28313137 -2.86259372],[4.31213908 4.23786442 1.09213933],[3.22997818]
104.556,[ 0.36770086  0.2934262  -2.85229888],[ 0.36122065  0.28694599 -2.8587791 ],[4.28102891 4.20675426 1.06102917],[3.24370287]
104.621,[ 0.31155813  0.23728348 -2.90844161],[ 0.34143277  0.26715811 -2.87856698],[4.27122798 4.19695332 1.05122823],[3.28307574]
104.691,[ 0.31601152  0.24173686 -2.90398823],[ 0.34660446  0.2723298  -2.87339529],[4.27058644 4.19631178 1.05058669],[3.28471187]
104.756,[ 0.31214031  0.23786565 -2.90785944],[ 0.35364896  0.27937431 -2.86635078],[4.22503743 4.15076277 1.00503768],[3.29229969]
104.821,[ 0.30967794  0.23540328 -2.91032181],[ 0.36459891  0.29032425 -2.85540084],[4.27050329 4.19622863 1.05050354],[3.32768896]
104.886,[ 0.2952977   0.22102304 -2.92470205],[ 0.38491758  0.31064292 -2.83508217],[4.23976192 4.16548726 1.01976217],[3.38570953]
104.956,[ 0.27526872  0.20099406 -2.94473103],[ 0.40132095  0.32704629 -2.8186788 ],[4.19048698 4.11621232 0.97048723],[3.4832661]
105.03,[ 0.28583742  0.21156276 -2.93416233],[ 0.45431011  0.38003545 -2.76568964],[4.17952329 4.10524863 0.95952354],[3.54524866]
105.106,[ 0.26686021  0.19258555 -2.95313954],[ 0.45446445  0.38018979 -2.7655353 ],[4.17470871 4.10043405 0.95470896],[3.59717268]
105.174,[ 0.25701249  0.18273783 -2.96298726],[ 0.43998686  0.3657122  -2.78001288],[4.16191891 4.08764425 0.94191916],[3.58129879]
105.249,[ 0.25723054  0.18295588 -2.96276921],[ 0.42826447  0.35398981 -2.79173528],[4.1597312  4.08545654 0.93973145],[3.54131769]
105.321,[ 0.24604866  0.171774   -2.97395109],[ 0.38977054  0.31549588 -2.8302292 ],[4.16495943 4.09068477 0.94495968],[3.47173032]
105.396,[ 0.23914142  0.16486677 -2.98085832],[ 0.35176531  0.27749066 -2.86823443],[4.15797541 4.08370075 0.93797566],[3.40338862]
105.467,[ 0.26060683  0.18633217 -2.95939291],[ 0.31291158  0.23863692 -2.90708816],[4.1477675  4.07349284 0.92776775],[3.29263445]
105.539,[ 0.27938499  0.20511033 -2.94061476],[ 0.29637983  0.22210518 -2.92361991],[4.13953471 4.06526005 0.91953496],[3.22767646]
105.609,[ 0.31246369  0.23818903 -2.90753606],[ 0.28237359  0.20809894 -2.93762615],[4.13239971 4.05812505 0.91239996],[3.13561724]
105.679,[ 0.35922088  0.28494623 -2.86077886],[ 0.28014189  0.20586723 -2.93985786],[4.12312542 4.04885076 0.90312567],[3.04191392]
105.766,[ 0.39311361  0.31883896 -2.82688613],[ 0.28454326  0.2102686  -2.93545649],[4.10969118 4.03541652 0.88969143],[2.98184257]
