timestamp,e_v_x,e_v_y,e_v_a,e_alpha
623.705,[-0.02846693 -0.10274159 -2.24846667],[ 0.31390406  0.2396294  -1.90609569],[ 1.97496069  1.90068603 -0.24503906],[1.99549417]
623.757,[-0.02748242 -0.10175708 -2.24748216],[ 0.3091562   0.23488154 -1.91084355],[ 1.98614018  1.91186553 -0.23385956],[1.90366707]
623.809,[-0.02660436 -0.10087902 -2.24660411],[ 0.30568185  0.23140719 -1.9143179 ],[ 1.99554325  1.92126859 -0.2244565 ],[1.82022127]
623.856,[-0.02593558 -0.10021024 -2.24593533],[ 0.30329346  0.2290188  -1.91670629],[ 2.00526424  1.93098958 -0.2147355 ],[1.74058995]
623.905,[-0.02641942 -0.10069408 -2.24641916],[ 0.30154733  0.22727267 -1.91845242],[ 2.01424145  1.93996679 -0.20575829],[1.66881982]
623.955,[-0.02684357 -0.10111823 -2.24684332],[ 0.29939479  0.22512013 -1.92060496],[ 2.02225385  1.94797919 -0.1977459 ],[1.60658837]
624.007,[-0.02629417 -0.10056883 -2.24629392],[ 0.29698236  0.2227077  -1.92301739],[ 2.03053974  1.95626508 -0.18946001],[1.55561706]
624.054,[-0.02523707 -0.09951173 -2.24523681],[ 0.2942151   0.21994044 -1.92578465],[ 2.03767936  1.9634047  -0.18232038],[1.5109408]
624.106,[-0.02470079 -0.09897545 -2.24470054],[ 0.29093688  0.21666222 -1.92906287],[ 2.0451345   1.97085984 -0.17486525],[1.46738478]
624.156,[-0.02436112 -0.09863578 -2.24436087],[ 0.28801732  0.21374266 -1.93198243],[ 2.05141246  1.9771378  -0.16858729],[1.42717424]
624.204,[-0.02376585 -0.09804051 -2.2437656 ],[ 0.28574223  0.21146757 -1.93425752],[ 2.0595961   1.98532144 -0.16040365],[1.3847403]
624.256,[-0.02431807 -0.09859273 -2.24431781],[ 0.28184799  0.20757333 -1.93815176],[ 2.06397461  1.98969995 -0.15602514],[1.34773513]
624.305,[-0.02435557 -0.09863023 -2.24435532],[ 0.27788348  0.20360882 -1.94211627],[ 2.06958641  1.99531175 -0.15041334],[1.30841022]
624.357,[-0.02545138 -0.09972604 -2.24545113],[ 0.27376537  0.19949071 -1.94623438],[ 2.0753695   2.00109484 -0.14463025],[1.26470158]
624.407,[-0.02564502 -0.09991968 -2.24564477],[ 0.2704739   0.19619924 -1.94952585],[ 2.08031034  2.00603568 -0.13968941],[1.22009228]
624.455,[-0.02622659 -0.10050125 -2.24622634],[ 0.26815967  0.19388501 -1.95184008],[ 2.08597981  2.01170515 -0.13401994],[1.17001355]
624.506,[-0.02734187 -0.10161653 -2.24734162],[ 0.26583038  0.19155572 -1.95416936],[ 2.08996444  2.01568979 -0.1300353 ],[1.12041778]
624.559,[-0.02848978 -0.10276444 -2.24848953],[ 0.26354879  0.18927413 -1.95645096],[ 2.09343054  2.01915588 -0.12656921],[1.07305992]
624.606,[-0.03035474 -0.1046294  -2.25035449],[ 0.26152     0.18724534 -1.95847975],[ 2.09640821  2.02213355 -0.12359154],[1.02959239]
624.658,[-0.03093008 -0.10520474 -2.25092983],[ 0.25955415  0.18527949 -1.9604456 ],[ 2.09850204  2.02422738 -0.12149771],[0.9859076]
624.708,[-0.03173771 -0.10601236 -2.25173745],[ 0.25735246  0.1830778  -1.96264728],[ 2.09899609  2.02472143 -0.12100366],[0.95874139]
624.759,[-0.03149663 -0.10577129 -2.25149638],[ 0.25552492  0.18125026 -1.96447483],[ 2.09849733  2.02422267 -0.12150242],[0.93792057]
624.807,[-0.03090206 -0.10517672 -2.25090181],[ 0.25296181  0.17868715 -1.96703794],[ 2.09762689  2.02335223 -0.12237286],[0.9260137]
624.856,[-0.02981591 -0.10409057 -2.24981566],[ 0.25079161  0.17651695 -1.96920814],[ 2.09569873  2.02142407 -0.12430102],[0.91991248]
624.906,[-0.02745757 -0.10173223 -2.24745732],[ 0.24731859  0.17304393 -1.97268116],[ 2.09351257  2.01923791 -0.12648718],[0.92235496]
624.957,[-0.02412557 -0.09840023 -2.24412531],[ 0.24268513  0.16841047 -1.97731462],[ 2.09062803  2.01635337 -0.12937172],[0.92819494]
625.006,[-0.0199311  -0.09420576 -2.23993084],[ 0.23801774  0.16374308 -1.98198201],[ 2.08805829  2.01378363 -0.13194146],[0.93034264]
625.065,[-0.01638174 -0.0906564  -2.23638149],[ 0.2335461   0.15927144 -1.98645365],[ 2.0862053   2.01193064 -0.13379445],[0.92781895]
625.109,[-0.01087945 -0.08515411 -2.2308792 ],[ 0.23118349  0.15690883 -1.98881626],[ 2.08385226  2.0095776  -0.13614749],[0.92219827]
625.156,[-0.00558399 -0.07985865 -2.22558374],[ 0.22775401  0.15347935 -1.99224573],[ 2.0820755   2.00780084 -0.13792425],[0.91533321]
625.206,[ 4.20630148e-04 -7.38540287e-02 -2.21957912e+00],[ 0.22546122  0.15118656 -1.99453852],[ 2.08023075  2.00595609 -0.139769  ],[0.90216078]
625.256,[ 0.00660611 -0.06766854 -2.21339363],[ 0.22407618  0.14980152 -1.99592357],[ 2.07869889  2.00442423 -0.14130086],[0.88418094]
625.305,[ 0.01252639 -0.06174827 -2.20747336],[ 0.22354555  0.14927089 -1.9964542 ],[ 2.07708471  2.00281005 -0.14291503],[0.8648198]
625.354,[ 0.01754144 -0.05673322 -2.20245831],[ 0.22449395  0.15021929 -1.9955058 ],[ 2.07604335  2.00176869 -0.1439564 ],[0.8425743]
625.408,[ 0.02329732 -0.05097734 -2.19670243],[ 0.22602852  0.15175386 -1.99397123],[ 2.07238563  1.99811097 -0.14761412],[0.83157972]
625.457,[ 0.02966818 -0.04460648 -2.19033157],[ 0.22686213  0.15258747 -1.99313761],[ 2.06896454  1.99468988 -0.15103521],[0.8287613]
625.506,[ 0.03626622 -0.03800844 -2.18373353],[ 0.22637791  0.15210325 -1.99362184],[ 2.065571    1.99129634 -0.15442875],[0.83408207]
625.558,[ 0.04359762 -0.03067704 -2.17640213],[ 0.22521852  0.15094386 -1.99478123],[ 2.06255779  1.98828313 -0.15744196],[0.84231949]
625.608,[ 0.05200355 -0.02227111 -2.1679962 ],[ 0.22359163  0.14931697 -1.99640812],[ 2.05960984  1.98533518 -0.16038991],[0.85166312]
625.657,[ 0.06050021 -0.01377444 -2.15949953],[ 0.22171843  0.14744378 -1.99828131],[ 2.05707121  1.98279656 -0.16292853],[0.86073695]
625.706,[ 0.06829757 -0.00597709 -2.15170218],[ 0.2205821   0.14630744 -1.99941765],[ 2.05517907  1.98090441 -0.16482068],[0.86428119]
