timestamp,x,y,z,quat_x,quat_y,quat_z,quat_w,vx,vy,vz,wx,wy,wz
621.691,0.4043985856892158,-0.001361913586721911,2.0049646643653936,-9.796951668392044e-05,0.000553782572295499,0.006967317876677313,0.9999755698058037,0.0,0.0,1.0,0.0,0.0,0.0
621.701,0.404255416299057,-0.001371626592639125,2.0151816592058722,-9.694640075205833e-05,0.0005312823762324756,0.0069676409394270515,0.999975579861914,0.0,0.0,1.0,0.0,0.0,0.0
621.711,0.4041134141603276,-0.0013811360064224047,2.0253985996919415,-9.556312330873012e-05,0.0005087402702253303,0.006967963063008913,0.9999755894729528,0.0,0.0,1.0,0.0,0.0,0.0
621.721,0.4039725337728291,-0.0013904449943881686,2.0356154669763087,-9.383602247121413e-05,0.0004862336522401756,0.006968284229602301,0.9999755985955516,0.0,0.0,1.0,0.0,0.0,0.0
621.731,0.403832729750895,-0.0013995573871136444,2.0458322431848535,-9.178195352882366e-05,0.0004638374921997416,0.006968604422235213,0.9999756071941256,0.0,0.0,1.0,0.0,0.0,0.0
621.741,0.4036939569710179,-0.0014084776451131974,2.056048911368337,-8.941822661535723e-05,0.0004416241819679154,0.006968923624737648,0.9999756152406793,0.0,0.0,1.0,0.0,0.0,0.0
621.751,0.40355617071425504,-0.0014172108237000647,2.066265455456532,-8.676254484294136e-05,0.0004196633971107826,0.0069692418216961045,0.9999756227145362,0.0,0.0,1.0,0.0,0.0,0.0
621.761,0.403419326803147,-0.001425762537155705,2.0764818602146518,-8.383294306317675e-05,0.00039802197047402474,0.006969558998409218,0.9999756296020001,0.0,0.0,1.0,0.0,0.0,0.0
621.771,0.40328338173290407,-0.0014341389223275418,2.0866981112019487,-8.064772741319515e-05,0.0003767637775800964,0.006969875140844693,0.9999756358959557,0.0,0.0,1.0,0.0,0.0,0.0
621.781,0.40314829279664266,-0.0014423466017740936,2.09691419473239,-7.722541579593128e-05,0.0003559496338139337,0.006970190235597628,0.9999756415954206,0.0,0.0,1.0,0.0,0.0,0.0
621.791,0.403014018204473,-0.001450392646574461,2.1071300978373015,-7.3584679435625e-05,0.0003356372033330098,0.006970504269850247,0.9999756467050519,0.0,0.0,1.0,0.0,0.0,0.0
621.801,0.4028805171962657,-0.0014582845389168085,2.1173458082298753,-6.974428564131411e-05,0.00031588091960637276,0.006970817231333305,0.9999756512346222,0.0,0.0,1.0,0.0,0.0,0.0
621.811,0.40274775014794684,-0.0014660301345778993,2.127561314271448,-6.57230419028699e-05,0.0002967319174578298,0.006971129108289043,0.9999756551984686,0.0,0.0,1.0,0.0,0.0,0.0
621.821,0.4026156786711925,-0.001473637625402943,2.1377766049394684,-6.153974143599582e-05,0.00027823797646067916,0.006971439889435916,0.9999756586149268,0.0,0.0,1.0,0.0,0.0,0.0
621.831,0.4024842657064196,-0.001481115501891966,2.147991669797056,-5.7213110284564754e-05,0.000260443475505298,0.006971749563935079,0.9999756615057558,0.0,0.0,1.0,0.0,0.0,0.0
621.841,0.40235347560898765,-0.0014884725159956716,2.1582064989640783,-5.2761756080735596e-05,0.0002433893583364219,0.006972058121358708,0.9999756638955619,0.0,0.0,1.0,0.0,0.0,0.0
621.851,0.40222327422855175,-0.0014957176442203404,2.168421083089669,-4.8204118555485044e-05,0.00022711310983407495,0.006972365551660167,0.9999756658112299,0.0,0.0,1.0,0.0,0.0,0.0
621.861,0.4020936289815246,-0.0015028600511376867,2.178635413326106,-4.3558421884532855e-05,0.00021164874279076332,0.0069726718451460735,0.9999756672813662,0.0,0.0,1.0,0.0,0.0,0.0
621.871,0.4019645089166296,-0.0015099090533918463,2.1888494813039916,-3.884262894715141e-05,0.00019702679491768145,0.006972976992450226,0.9999756683357627,0.0,0.0,1.0,0.0,0.0,0.0
621.881,0.40183588477354465,-0.0015168740842917356,2.1990632791086573,-3.407439756805891e-05,0.0001832743357942374,0.006973280984509433,0.9999756690048835,0.0,0.0,1.0,0.0,0.0,0.0
621.891,0.40170772903465635,-0.001523764659072998,2.209276799257739,-2.927103880552957e-05,0.00017041498345810914,0.006973583812541152,0.9999756693193836,0.0,0.0,1.0,0.0,0.0,0.0
621.901,0.4015800159699642,-0.0015305903409095804,2.2194900346798576,-2.4449477342059633e-05,0.0001584689303172117,0.0069738854680229286,0.9999756693096589,0.0,0.0,1.0,0.0,0.0,0.0
621.911,0.4014527216751923,-0.0015373607077507337,2.22970297869435,-1.962621402746429e-05,0.0001474529780502791,0.006974185942673522,0.9999756690054354,0.0,0.0,1.0,0.0,0.0,0.0
621.921,0.4013258241031827,-0.0015440853200548712,2.2399156249919976,-1.4817290618242556e-05,0.00013738058114909463,0.006974485228435635,0.9999756684353986,0.0,0.0,1.0,0.0,0.0,0.0
621.931,0.4011993030886629,-0.0015507736894872937,2.250127967616705,-1.0038256751575151e-05,0.00012826189874251564,0.006974783317460042,0.9999756676268644,0.0,0.0,1.0,0.0,0.0,0.0
621.941,0.40107314036649633,-0.0015574352486442994,2.2603400009480716,-5.304139187635473e-06,0.00012010385432996457,0.006975080202090902,0.9999756666054954,0.0,0.0,1.0,0.0,0.0,0.0
621.951,0.4009473195835375,-0.0015640793218616375,2.2705517196848186,-6.294133503304335e-07,0.00011291020303937855,0.00697537587485192,0.9999756653950608,0.0,0.0,1.0,0.0,0.0,0.0
621.961,0.4008218263042322,-0.001570715097160659,2.2807631188290274,3.9720228053671234e-06,0.00010668160601058379,0.006975670328432894,0.9999756640172435,0.0,0.0,1.0,0.0,0.0,0.0
621.971,0.4006966480101142,-0.001577351599380884,2.290974193671147,8.486872571069144e-06,0.000101415711487579,0.006975963555675888,0.9999756624914911,0.0,0.0,1.0,0.0,0.0,0.0
621.981,0.40057177409336353,-0.0015839976645429846,2.3011849397757302,1.290246187628214e-05,9.710724217836463e-05,0.006976255549560044,0.9999756608349112,0.0,0.0,1.0,0.0,0.0,0.0
621.991,0.4004471958446046,-0.0015906619154814564,2.311395352967866,1.7206758257617544e-05,9.374808840178692e-05,0.006976546303183515,0.9999756590622109,0.0,0.0,1.0,0.0,0.0,0.0
622.001,0.4003229064351317,-0.001597352738781426,2.321605429320272,2.1388387371002797e-05,9.132740647697461e-05,0.006976835809740584,0.9999756571856766,0.0,0.0,1.0,0.0,0.0,0.0
