timestamp,x,y,z,vx,vy,vz,wx,wy,wz
57.147,-1.0246577769909793,-0.9959020802085882,6.000212649142289,0.0,0.0,1.0,0.0,0.0,0.0
57.157,-1.0246167990851054,-0.9959050222067246,6.010302952404545,0.0,0.0,1.0,0.0,0.0,0.0
57.167,-1.0245758345763618,-0.9959079653201688,6.020393073022514,0.0,0.0,1.0,0.0,0.0,0.0
57.177,-1.0245348840885358,-0.9959109095040976,6.030483011365503,0.0,0.0,1.0,0.0,0.0,0.0
57.187,-1.0244939482425153,-0.995913854713528,6.040572767802079,0.0,0.0,1.0,0.0,0.0,0.0
57.197,-1.0244530276559245,-0.9959168009033018,6.050662342700065,0.0,0.0,1.0,0.0,0.0,0.0
57.207,-1.0244121229427625,-0.9959197480280748,6.060751736426543,0.0,0.0,1.0,0.0,0.0,0.0
57.217,-1.0243712347130485,-0.9959226960423055,6.070840949347852,0.0,0.0,1.0,0.0,0.0,0.0
57.227,-1.0243303635724783,-0.9959256449002478,6.080929981829595,0.0,0.0,1.0,0.0,0.0,0.0
57.237,-1.024289510122081,-0.9959285945559452,6.091018834236637,0.0,0.0,1.0,0.0,0.0,0.0
57.247,-1.0242486749578932,-0.995931544963227,6.101107506933109,0.0,0.0,1.0,0.0,0.0,0.0
57.257,-1.0242078586706376,-0.9959344960757074,6.111196000282404,0.0,0.0,1.0,0.0,0.0,0.0
57.267,-1.0241670618454164,-0.9959374478467835,6.121284314647187,0.0,0.0,1.0,0.0,0.0,0.0
57.277,-1.024126285061413,-0.9959404002296393,6.131372450389391,0.0,0.0,1.0,0.0,0.0,0.0
57.287,-1.0240855288916058,-0.9959433531772478,6.141460407870214,0.0,0.0,1.0,0.0,0.0,0.0
57.297,-1.024044793902499,-0.9959463066423784,6.151548187450133,0.0,0.0,1.0,0.0,0.0,0.0
57.307,-1.024004080653861,-0.9959492605776025,6.161635789488893,0.0,0.0,1.0,0.0,0.0,0.0
57.317,-1.0239633896984808,-0.9959522149353026,6.171723214345517,0.0,0.0,1.0,0.0,0.0,0.0
57.327,-1.0239227215819375,-0.9959551696676827,6.1818104623783015,0.0,0.0,1.0,0.0,0.0,0.0
57.337,-1.0238820768423826,-0.9959581247267802,6.19189753394482,0.0,0.0,1.0,0.0,0.0,0.0
57.347,-1.0238414560103402,-0.9959610800644785,6.2019844294019295,0.0,0.0,1.0,0.0,0.0,0.0
57.357,-1.0238008596085202,-0.9959640356325211,6.21207114910576,0.0,0.0,1.0,0.0,0.0,0.0
57.367,-1.0237602881516503,-0.9959669913825281,6.222157693411727,0.0,0.0,1.0,0.0,0.0,0.0
57.377,-1.0237197421463196,-0.9959699472660117,6.23224406267453,0.0,0.0,1.0,0.0,0.0,0.0
57.387,-1.0236792220908393,-0.9959729032343947,6.2423302572481525,0.10301075130701065,0.1267397105693817,-1.2726614475250244,0.0,0.0,-0.025499790906906128
57.397,-1.0236387240623313,-0.9959758541332465,6.252347974156552,0.10301075130701065,0.1267397105693817,-1.2726614475250244,0.0,0.0,-0.025499790906906128
57.407,-1.0235981753476202,-0.9959787236542058,6.262124197148788,0.10301075130701065,0.1267397105693817,-1.2726614475250244,0.0,0.0,-0.025499790906906128
57.417,-1.0235573755413883,-0.995981306093589,6.2715219649317255,0.17810292541980743,0.17173230648040771,-1.301224708557129,0.0,0.0,-0.02388608455657959
57.427,-1.0235160367653762,-0.9959833097702591,6.280435013288274,0.17810292541980743,0.17173230648040771,-1.301224708557129,0.0,0.0,-0.02388608455657959
57.437,-1.023473811008354,-0.9959843983678379,6.288781602009382,0.17810292541980743,0.17173230648040771,-1.301224708557129,0.0,0.0,-0.02388608455657959
57.447,-1.0234302892686116,-0.995984202849386,6.296501559125594,0.17810292541980743,0.17173230648040771,-1.301224708557129,0.0,0.0,-0.02388608455657959
57.457,-1.0233850098168509,-0.9959823245814065,6.303552289718694,0.16608601808547974,0.1430734395980835,-1.310436725616455,0.0,0.0,-0.025009483098983765
57.467,-1.023337456310869,-0.9959783264837448,6.309905173472741,0.16608601808547974,0.1430734395980835,-1.310436725616455,0.0,0.0,-0.025009483098983765
57.476,-1.0232870440402384,-0.995971718941462,6.315542667145314,0.16608601808547974,0.1430734395980835,-1.310436725616455,0.0,0.0,-0.025009483098983765
57.487,-1.023233092377655,-0.9959619379574675,6.320456602851314,0.16608601808547974,0.1430734395980835,-1.310436725616455,0.0,0.0,-0.025009483098983765
57.497,-1.0231747960188295,-0.9959483225129776,6.324646300228373,0.16608601808547974,0.1430734395980835,-1.310436725616455,0.0,0.0,-0.025009483098983765
57.507,-1.0231111989008645,-0.9959300950036069,6.328117004003579,0.16608601808547974,0.1430734395980835,-1.310436725616455,0.0,0.0,-0.025009483098983765
57.517,-1.023041174438232,-0.995906347943937,6.330878599916102,0.1109880656003952,0.023209743201732635,-1.4046329259872437,0.0,0.0,-0.01226535439491272
57.527,-1.022963495594232,-0.9958761081809754,6.332941734758505,0.1109880656003952,0.023209743201732635,-1.4046329259872437,0.0,0.0,-0.01226535439491272
57.537,-1.0228769117564163,-0.9958384184461204,6.334315442468466,0.1109880656003952,0.023209743201732635,-1.4046329259872437,0.0,0.0,-0.01226535439491272
57.547,-1.022780026838047,-0.9957922620915675,6.335012267687847,0.1109880656003952,0.023209743201732635,-1.4046329259872437,0.0,0.0,-0.01226535439491272
57.557,-1.0226713116111783,-0.9957365932778236,6.335047519806863,0.1109880656003952,0.023209743201732635,-1.4046329259872437,0.0,0.0,-0.01226535439491272
57.567,-1.0225491219151788,-0.9956703611325536,6.3344385963183285,-0.024685382843017578,-0.08791510760784149,-1.4637691974639893,0.0,0.0,-0.004076063632965088
