timestamp,x,y,z,vx,vy,vz,wx,wy,wz
28.336,0.9830715349863585,1.0037984186885867,8.004011349531014,0.0,0.0,1.0,0.0,0.0,0.0
28.346,0.9831041449209823,1.0037974116964468,8.01407172001701,0.0,0.0,1.0,0.0,0.0,0.0
28.356,0.9831367013191491,1.0037964059900883,8.024131968391245,0.0,0.0,1.0,0.0,0.0,0.0
28.367,0.9831692041850542,1.0037954015737618,8.034192094900673,0.0,0.0,1.0,0.0,0.0,0.0
28.376,0.9832016535234417,1.0037943984515951,8.044252099791745,0.0,0.0,1.0,0.0,0.0,0.0
28.386,0.9832340493395834,1.0037933966275971,8.054311983310422,0.0,0.0,1.0,0.0,0.0,0.0
28.396,0.9832663916392539,1.0037923961056565,8.06437174570216,0.0,0.0,1.0,0.0,0.0,0.0
28.406,0.9832986804287146,1.0037913968895475,8.074431387211924,0.0,0.0,1.0,0.0,0.0,0.0
28.416,0.9833309157146933,1.0037903989829282,8.084490908084172,0.0,0.0,1.0,0.0,0.0,0.0
28.426,0.9833630975043682,1.0037894023893452,8.094550308562884,0.0,0.0,1.0,0.0,0.0,0.0
28.436,0.9833952258053535,1.0037884071122345,8.104609588891535,0.0,0.0,1.0,0.0,0.0,0.0
28.446,0.9834273006256861,1.0037874131549243,8.114668749313113,0.0,0.0,1.0,0.0,0.0,0.0
28.456,0.9834593219738126,1.0037864205206375,8.124727790070114,0.0,0.0,1.0,0.0,0.0,0.0
28.466,0.983491289858581,1.0037854292124941,8.134786711404542,0.0,0.0,1.0,0.0,0.0,0.0
28.476,0.9835232042892308,1.0037844392335147,8.144845513557911,0.0,0.0,1.0,0.0,0.0,0.0
28.486,0.9835550652753854,1.0037834505866208,8.154904196771254,0.0,0.0,1.0,0.0,0.0,0.0
28.496,0.983586872827047,1.0037824632746397,8.1649627612851,0.0,0.0,1.0,0.0,0.0,0.0
28.506,0.9836186269545923,1.0037814773003073,8.17502120733951,0.0,0.0,1.0,0.0,0.0,0.0
28.516,0.9836503276687681,1.0037804926662697,8.185079535174049,0.0,0.0,1.0,0.0,0.0,0.0
28.526,0.9836819749806911,1.003779509375087,8.195137745027802,0.0,0.0,1.0,0.0,0.0,0.0
28.536,0.9837135689018447,1.0037785274292361,8.20519583713937,0.0,0.0,1.0,0.0,0.0,0.0
28.546,0.9837451094440828,1.003777546831113,8.21525381174687,0.0,0.0,1.0,0.0,0.0,0.0
28.556,0.9837765966196287,1.0037765675830366,8.225311669087933,0.0,0.0,1.0,0.0,0.0,0.0
28.566,0.9838080304410787,1.0037755896872511,8.235369409399718,0.0,0.0,1.0,0.0,0.0,0.0
28.576,0.9838394109214059,1.003774613145929,8.2454270329189,0.0,0.0,1.0,0.0,0.0,0.0
28.586,0.9838707380739651,1.0037736379611746,8.255484539881676,0.0,0.0,1.0,0.0,0.0,0.0
28.596,0.9839020119124976,1.003772664135025,8.265541930523769,-0.03531515598297119,-0.26097118854522705,-0.7681528329849243,0.0,0.0,0.017856299877166748
28.606,0.9839332324978091,1.0037716845437539,8.27555787914742,-0.03531515598297119,-0.26097118854522705,-0.7681528329849243,0.0,0.0,0.017856299877166748
28.616,0.983964379355873,1.0037705460751518,8.285398195544307,-0.03531515598297119,-0.26097118854522705,-0.7681528329849243,0.0,0.0,0.017856299877166748
28.626,0.9839953770738127,1.003768754960921,8.294953594291597,-0.0634276419878006,-0.25884419679641724,-0.7533178329467773,0.0,0.0,0.006791561841964722
28.636,0.9840260999960458,1.003765508253382,8.304140181573501,-0.0634276419878006,-0.25884419679641724,-0.7533178329467773,0.0,0.0,0.006791561841964722
28.646,0.9840563763910208,1.0037597839443884,8.312895363811792,-0.0634276419878006,-0.25884419679641724,-0.7533178329467773,0.0,0.0,0.006791561841964722
28.656,0.9840859824204076,1.0037504074159302,8.321173096953464,-0.0634276419878006,-0.25884419679641724,-0.7533178329467773,0.0,0.0,0.006791561841964722
28.666,0.9841146446259041,1.0037360779830689,8.328940773767538,-0.0634276419878006,-0.25884419679641724,-0.7533178329467773,0.0,0.0,0.006791561841964722
28.676,0.9841420424033098,1.0037153653110886,8.336176827551633,-0.0956011712551117,-0.24935364723205566,-0.7472851872444153,0.0,0.0,0.006257116794586182
28.686,0.9841677979214749,1.0036866925732169,8.342868809099585,-0.0956011712551117,-0.24935364723205566,-0.7472851872444153,0.0,0.0,0.006257116794586182
28.696,0.9841914572646212,1.0036483279262727,8.349011242393201,-0.0956011712551117,-0.24935364723205566,-0.7472851872444153,0.0,0.0,0.006257116794586182
28.706,0.984212480920245,1.0035983713206713,8.354604196140208,-0.0956011712551117,-0.24935364723205566,-0.7472851872444153,0.0,0.0,0.006257116794586182
28.715,0.9842302410229319,1.0035347451870367,8.359652122721355,-0.0956011712551117,-0.24935364723205566,-0.7472851872444153,0.0,0.0,0.006257116794586182
28.726,0.9842440240217494,1.003455195230295,8.364162815258766,-0.015091851353645325,-0.24665305018424988,-0.7508509159088135,0.0,0.0,0.012726664543151855
28.736,0.98425306105037,1.0033573000978722,8.368146517950555,-0.015091851353645325,-0.24665305018424988,-0.7508509159088135,0.0,0.0,0.012726664543151855
28.746,0.9842565830458605,1.0032384731197355,8.371615544291956,-0.015091851353645325,-0.24665305018424988,-0.7508509159088135,0.0,0.0,0.012726664543151855
28.756,0.9842538540780663,1.003095977112879,8.374583750246396,-0.015091851353645325,-0.24665305018424988,-0.7508509159088135,0.0,0.0,0.012726664543151855
28.766,0.9842441864921839,1.002926943484985,8.377066098349113,-0.015091851353645325,-0.24665305018424988,-0.7508509159088135,0.0,0.0,0.012726664543151855
28.776,0.9842269184781323,1.002728277683229,8.379080251424307,-0.007990226149559021,-0.24373340606689453,-0.6675745248794556,0.0,0.0,0.01806265115737915
28.786,0.9842013806272942,1.0024965204578884,8.38064871980317,-0.007990226149559021,-0.24373340606689453,-0.6675745248794556,0.0,0.0,0.01806265115737915
28.796,0.9841669862655228,1.002228191100599,8.381793091780828,-0.007990226149559021,-0.24373340606689453,-0.6675745248794556,0.0,0.0,0.01806265115737915
