timestamp,x,y,z,quat_x,quat_y,quat_z,quat_w,vx,vy,vz,wx,wy,wz
435.365,0.9764632957074867,1.0063735132446747,7.009422957739367,-1.7764476936377097e-06,-7.240353995175143e-06,-0.2907524781498916,0.9567983049703415,0.0,0.0,1.0,0.0,0.0,0.0
435.375,0.9764945144337691,1.006352375036459,7.019496659577315,-1.8081928737648542e-06,-7.336126904080591e-06,-0.2907524685452235,0.9567983078882251,0.0,0.0,1.0,0.0,0.0,0.0
435.385,0.9765256947910452,1.0063312616849431,7.029570212343217,-1.8397682117773953e-06,-7.431807442125519e-06,-0.29075245899436497,0.9567983107897473,0.0,0.0,1.0,0.0,0.0,0.0
435.395,0.9765568366480519,1.006310173283193,7.039643616338525,-1.8711807669195941e-06,-7.527376629916323e-06,-0.29075244949701545,0.9567983136749995,0.0,0.0,1.0,0.0,0.0,0.0
435.405,0.9765879398737513,1.0062891099238316,7.0497168718640815,-1.9024368839465573e-06,-7.622813380195568e-06,-0.2907524400528762,0.956798316544073,0.0,0.0,1.0,0.0,0.0,0.0
435.415,0.9766190043373723,1.0062680716990424,7.0597899792201275,-1.9335422009390965e-06,-7.718094636970276e-06,-0.2907524306616502,0.9567983193970582,0.0,0.0,1.0,0.0,0.0,0.0
435.425,0.9766500299084592,1.0062470587005636,7.069862938706292,-1.964501658910712e-06,-7.81319551667976e-06,-0.2907524213230417,0.9567983222340449,0.0,0.0,1.0,0.0,0.0,0.0
435.435,0.9766810164569191,1.0062260710196853,7.079935750621597,-1.995319513132766e-06,-7.908089450937125e-06,-0.290752412036757,0.9567983250551231,0.0,0.0,1.0,0.0,0.0,0.0
435.445,0.9767119638530755,1.006205108747241,7.090008415264464,-2.0259993461008225e-06,-8.002748330385921e-06,-0.2907524028025036,0.9567983278603814,0.0,0.0,1.0,0.0,0.0,0.0
435.455,0.9767428719677229,1.0061841719736009,7.100080932932709,-2.056544082062423e-06,-8.097142649222005e-06,-0.290752393619991,0.9567983306499092,0.0,0.0,1.0,0.0,0.0,0.0
435.465,0.9767737406721837,1.0061632607886573,7.110153303923548,-2.086956003024092e-06,-8.191241649940275e-06,-0.2907523844889297,0.9567983334237941,0.0,0.0,1.0,0.0,0.0,0.0
435.475,0.9768045698383668,1.006142375281815,7.120225528533594,-2.1172367661532266e-06,-8.285013467876646e-06,-0.29075237540903254,0.9567983361821241,0.0,0.0,1.0,0.0,0.0,0.0
435.485,0.976835359338829,1.0061215155419745,7.1302976070588615,-2.1473874224886727e-06,-8.378425275127307e-06,-0.2907523663800133,0.9567983389249864,0.0,0.0,1.0,0.0,0.0,0.0
435.495,0.9768661090468366,1.0061006816575166,7.140369539794769,-2.177408436872241e-06,-8.471443423439896e-06,-0.29075235740158745,0.9567983416524681,0.0,0.0,1.0,0.0,0.0,0.0
435.505,0.9768968188364286,1.006079873716283,7.150441327036132,-2.207299709012166e-06,-8.564033585684718e-06,-0.2907523484734724,0.9567983443646554,0.0,0.0,1.0,0.0,0.0,0.0
435.515,0.9769274885824808,1.006059091805558,7.160512969077176,-2.237060595588543e-06,-8.656160895528337e-06,-0.29075233959538666,0.9567983470616342,0.0,0.0,1.0,0.0,0.0,0.0
435.525,0.9769581181607712,1.0060383360120482,7.17058446621153,-2.266689933310087e-06,-8.747790084946922e-06,-0.2907523307670503,0.9567983497434902,0.0,0.0,1.0,0.0,0.0,0.0
435.535,0.9769887074480451,1.0060176064218584,7.180655818732229,-2.296186062831149e-06,-8.838885619232394e-06,-0.29075232198818507,0.9567983524103082,0.0,0.0,1.0,0.0,0.0,0.0
435.545,0.9770192563220798,1.0059969031204712,7.190727026931719,-2.3255468534378263e-06,-8.92941182916072e-06,-0.29075231325851414,0.9567983550621731,0.0,0.0,1.0,0.0,0.0,0.0
435.555,0.9770497646617509,1.005976226192721,7.200798091101852,-2.3547697284120944e-06,-9.019333040008526e-06,-0.29075230457776224,0.956798357699169,0.0,0.0,1.0,0.0,0.0,0.0
435.565,0.9770802323470963,1.00595557572277,7.21086901153389,-2.3838516909833443e-06,-9.10861369712161e-06,-0.2907522959456555,0.9567983603213794,0.0,0.0,1.0,0.0,0.0,0.0
