timestamp,MSE
17.495,158.24396
17.547,155.96268
17.602,154.8551
17.652,154.32184
17.697,155.19666
17.747,157.27705
17.796,155.71947
17.847,157.65158
17.897,155.0704
17.947,157.18663
18.002,154.96213
18.053,154.61893
18.098,155.72714
18.145,155.27083
18.196,155.96106
18.246,157.8502
18.298,157.17982
18.348,157.98004
18.401,158.08768
18.452,155.33229
18.497,158.4535
18.548000000000002,155.78418
18.596,156.15567
18.647,160.5053
18.697,157.8951
18.747,160.74855
18.801,158.63556
18.851,158.34631
18.897,162.26262
18.95,164.08528
18.997,164.5373
19.048,163.27325
19.098,165.97276
19.153,165.63055
19.203,167.20856
19.251,164.47557
19.296,164.6427
19.347,163.36838
19.395,163.00742
19.446,162.77907
19.497,162.73567
19.546,161.97699
19.601,163.59085
19.651,157.37685
19.7,144.96323
19.747,132.69167
19.8,107.30298
19.846,83.51535
19.896,75.12995
19.947,82.56852
20.002,98.9483
20.05,116.52246
20.101,137.7361
20.15,151.8225
20.197,162.52264
20.25,170.71156
20.296,165.93578
20.353,168.75974
20.402,169.69011
20.45,169.76839
20.497,167.93059
20.547,171.04892
20.597,170.3935
20.646,169.76183
20.697,172.32697
20.747,174.1225
20.802,171.32013
20.851,173.32848
20.9,174.07826
20.95,174.86238
20.996,171.41219
21.046,173.60756
21.096,172.97275
21.146,169.44785
21.201,170.18146
21.251,159.3212
21.3,130.13931
21.346,105.67532
21.397,89.441025
21.446,79.43641
21.501,79.19585
21.551,93.54253
21.602,105.729645
21.65,123.902214
21.699,149.00198
21.75,160.98524
21.799,175.31354
21.846,174.40668
21.903,174.76486
21.951,175.42955
22.003,175.2652
22.05,175.58519
22.099,182.35037
22.149,175.74612
22.2,174.99469
22.252,181.0708
22.299,175.93808
22.352,177.07773
22.402,175.6004
22.45,176.8006
22.496,177.39102
22.549,181.67686
22.596,176.28244
22.649,179.25598
22.701,171.40599
22.753,152.76855
22.801,131.09755
22.85,117.20825
22.899,113.249275
22.949,118.19208
22.999,123.17749
23.052,140.39178
23.102,154.07918
23.152,170.6708
23.201,184.28041
23.249,186.61697
23.298,184.80849
23.349,188.67006
23.399,184.30531
23.448,184.33371
23.502,189.2636
23.554,185.70107
