timestamp,MSE
21.733,238.87871
21.783,239.09338
21.832,239.71678
21.882,239.9558
21.933,240.40033
21.984,239.98505
22.038,237.24937
22.084,239.74277
22.132,241.8648
22.183,240.47653
22.233,240.2998
22.283,241.89862
22.337,240.26097
22.385,241.88263
22.437,242.78455
22.482,244.13576
22.532,240.0612
22.584,242.60379
22.633,236.61032
22.683,244.5498
22.733,241.86578
22.788,240.11465
22.837,242.35896
22.884,241.66338
22.933,243.63019
22.983,242.32678
23.032,245.63039
23.083,250.07547
23.133,244.83858
23.186,249.7198
23.238,251.76576
23.282,249.43152
23.335,252.8017
23.382,252.84824
23.433,252.34183
23.486,252.6719
23.532,253.11647
23.586,253.69717
23.639,254.68878
23.683,256.4819
23.732,258.7545
23.782,259.76645
23.836,256.5278
23.882,256.1852
23.932,257.80615
23.985,263.04553
24.037,260.00638
24.083,258.4368
24.134,260.9646
24.183,264.7492
24.234,265.38287
24.281,264.8167
24.337,264.8064
24.384,265.73444
24.436,266.34894
24.482,266.35236
24.533,267.09204
24.585,267.77145
24.633,269.04202
24.685,270.7863
24.732,270.0605
24.79,274.44604
24.837,275.395
24.884,272.02643
24.935,276.614
24.985,277.40118
25.034,274.534
25.082,277.50134
25.136,279.4232
25.188,280.74182
25.237,280.78223
25.282,283.77524
25.335,280.75522
25.384,280.45078
25.436,281.30307
25.485,284.26263
25.536,289.10263
25.588,291.43243
25.635,292.36304
25.687,292.22552
25.732,291.30624
25.785,292.8399
25.833,294.16238
25.884,297.9348
25.936,298.67947
25.987,300.96643
26.035,303.50095
26.086,304.75092
26.135,308.3078
26.183,309.94742
26.235,307.22052
26.287,310.94263
26.336,307.5154
26.387,307.3127
26.436,305.39398
26.483,304.29037
26.535,291.07483
26.584,276.92456
26.635,276.25708
26.687,286.52405
26.739,296.23578
26.786,299.1123
26.837,303.2998
26.883,308.8826
26.934,311.7651
26.984,314.50864
27.034,319.6741
27.088,319.4796
27.135,315.47107
27.186,314.59708
27.235,310.45853
27.284,290.45023
27.336,271.65308
27.384,255.09758
27.435,241.27069
27.483,247.50755
27.537,275.17563
27.587,300.81226
27.635,319.1895
27.684,320.25983
27.734,322.1679
27.785,320.39087
27.834,321.65628
27.887,330.3547
27.938,328.0139
27.987,328.66425
28.035,330.58334
28.084,332.86987
28.134,331.36234
28.184,331.81683
28.235,330.02423
28.286,326.24222
28.337,325.73053
28.385,309.31253
28.435,267.75497
28.486,225.80899
28.534,230.48572
28.584,258.51566
28.634,279.74915
28.686,305.59167
28.738,325.19193
28.786,328.3672
28.835,331.57697
28.883,331.81244
28.934,331.26706
28.984,329.84012
29.034,327.32678
29.086,310.02426
29.138,281.58823
29.185,261.6176
29.235,244.67494
29.283,229.50117
29.334,217.89561
29.383,205.84688
29.437,199.55804
29.486,208.88889
29.537,237.0744
29.585,277.34525
29.635,314.33743
29.683,329.23206
29.734,333.37653
29.783,335.2982
29.834,333.5732
29.885,331.92554
29.936,333.08078
29.985,333.086
30.034,334.63696
30.082,336.00363
30.133,337.2152
30.183,337.34888
30.236,336.46753
30.285,321.06345
30.336,275.00314
30.386,232.72351
30.433,231.47804
30.483,247.90329
30.533,270.26294
30.583,300.9675
30.633,331.78226
30.685,344.0227
30.737,345.83197
30.785,349.338
30.833,349.62442
30.883,348.47247
30.934,344.47577
30.983,326.02518
31.033,287.6687
31.087,251.1408
31.137,225.34596
31.184,203.51016
31.233,186.2453
31.283,171.08607
31.333,160.25409
31.383,162.01456
31.436,183.17961
31.486,221.41127
31.536,254.51888
31.584,283.68933
31.633,306.14734
31.683,326.66965
31.732,337.0442
31.782,342.31802
31.837,343.00076
31.884,341.46854
31.935,337.26324
31.984,327.64496
32.032,312.1358
32.082,286.14008
32.132,247.30775
32.182,210.99135
32.237,203.5332
32.286,216.89899
32.335,240.7027
32.385,270.09097
32.432,308.45325
32.482,345.13968
32.531,362.00632
32.583,369.21017
32.639,372.4881
32.685,368.59943
32.736,361.1269
32.783,345.567
32.834,320.68033
32.885,280.07703
32.932,244.33485
32.982,212.90291
33.038,189.06682
33.084,172.01064
33.136,157.49535
33.183,150.55829
33.232,158.94215
33.282,182.97052
33.332,217.18088
33.382,247.90955
33.435,271.64587
33.484,288.7381
33.534,302.86066
33.583,314.7416
33.631,319.60834
33.681,319.2121
33.733,311.9885
33.782,303.79324
33.835,287.42026
33.885,258.48865
33.934,219.23108
33.983,178.4503
34.032,173.23164
34.08,184.90167
34.133,202.5974
34.186,229.1885
34.235,265.7541
34.285,308.17145
34.334,341.36914
34.382,358.5853
34.432,368.88608
34.484,368.7945
34.534,365.89282
34.587,359.1752
34.635,344.447
34.684,319.06345
34.734,281.88168
34.783,241.30804
34.832,205.42813
34.883,175.6657
34.934,148.65152
34.987,133.94151
35.035,129.69637
35.083,141.76416
35.133,173.73563
35.185,209.5463
35.233,235.43143
35.282,255.33685
35.332,270.63306
35.386,282.9938
35.436,295.89087
35.483,305.0098
35.534,302.61426
35.582,291.43652
35.633,272.32825
35.683,245.4326
35.733,207.23357
35.785,158.76367
35.836,133.14622
35.883,131.52777
35.934,142.45947
35.981,171.7012
36.034,214.79291
36.082,257.3976
36.133,290.15
36.184,314.79715
36.234,334.16153
36.283,344.15622
36.334,351.9904
36.382,354.02524
36.432,349.64682
36.483,338.51193
36.533,314.33463
36.587,282.54138
36.634,240.22215
36.684,198.04935
36.732,164.57701
36.781,135.22006
36.833,125.26484
36.883,130.6594
36.932,151.14015
36.986,187.2253
37.034,221.3945
37.082,246.1836
37.133,263.09927
37.182,280.1663
37.234,294.18396
37.283,304.5351
37.333,308.0779
37.386,304.54218
37.435,293.7078
37.482,275.87405
37.532,245.12627
37.582,201.47366
37.632,148.29153
37.681,121.66352
37.733,113.02968
37.786,133.68971
37.836,183.72354
37.883,236.23857
37.933,279.41693
37.982,308.73392
38.032,330.37402
38.082,346.203
38.135,357.54477
38.186,363.49133
38.233,369.91714
38.282,366.80096
38.334,361.19675
38.382,346.4252
38.433,322.2188
38.482,283.6604
38.532,237.79767
38.587,190.53674
38.634,140.5824
38.684,110.53978
38.733,107.68918
38.781,121.07065
38.833,151.38893
38.881,185.62025
38.935,216.46965
38.985,239.01979
39.033,248.4576
39.083,253.30449
39.131,258.78992
39.182,266.00488
39.233,269.1088
39.284,262.88007
39.338,247.87038
39.385,223.17491
39.434,189.75014
39.482,151.40114
39.532,122.75644
