timestamp,MSE
30.434,500.11713
30.483,490.54663
30.532,479.8114
30.582,452.19495
30.631,448.1889
30.682,435.75116
30.731,445.6145
30.781,452.90375
30.834,450.4203
30.884,449.2063
30.933,444.87915
30.983,440.95163
31.034,432.52658
31.082,423.7092
31.131,415.44998
31.185,406.12915
31.234,394.07614
31.285,378.96756
31.333,367.8397
31.382,352.88495
31.432,338.75037
31.482,326.79285
31.536,311.50546
31.584,297.7404
31.633,281.6322
31.683,272.93356
31.732,265.35266
31.783,266.31592
31.833,267.47028
31.881,271.7239
31.932,274.67697
31.983,278.218
32.035,277.26743
32.082,274.00754
32.132,271.23132
32.181,267.2223
32.231,258.87372
32.282,250.43417
32.331,239.00604
32.383,226.69846
32.434,212.00793
32.483,191.87672
32.533,171.68964
32.583,150.793
32.631,132.51874
32.683,118.45952
32.732,103.87997
32.785,93.17656
32.833,89.42081
32.882,85.39295
32.934,85.735664
32.983,88.776474
33.031,91.93926
33.083,99.83232
33.134,111.77299
33.186,126.84211
33.233,141.24152
33.282,156.74889
33.331,174.44008
33.382,193.24084
33.432,210.78275
33.482,223.17747
33.536,236.08936
33.586,240.34412
33.633,242.43265
33.683,239.60768
33.732,233.06862
33.783,220.64445
33.832,207.544
33.881,191.37569
33.934,174.50043
33.985,158.80653
34.032,142.54741
34.084,126.165596
34.133,110.55996
34.182,100.43239
34.232,96.48168
34.281,96.29878
34.334,94.15395
34.385,93.17935
34.433,93.45415
34.482,94.90399
34.531,94.241875
34.583,98.59572
34.631,104.10467
34.684,113.97357
34.734,123.363815
34.783,133.00677
34.834,141.15948
34.882,148.57065
34.933,154.92012
34.981,162.08884
35.031,168.23137
35.085,172.32228
35.135,175.44609
35.184,177.85106
35.232,178.38977
35.282,176.07735
35.331,170.63641
35.382,162.21976
35.432,153.47551
35.485,140.2488
35.534,127.11308
35.583,113.75952
35.632,101.3689
35.683,96.59683
35.733,91.84134
35.782,91.459114
35.832,90.699905
35.885,91.13788
35.933,90.90996
35.984,94.22897
36.032,96.268105
36.082,101.48895
36.132,105.53975
36.182,113.710075
36.232,119.09435
36.281,126.29937
36.335,131.88167
36.383,136.83415
36.433,141.40738
36.483,144.1847
36.531,146.00845
36.582,146.10985
36.633,144.50778
36.687,141.15683
36.735,138.46404
36.782,138.27069
36.833,133.09123
36.884,127.318
36.932,126.2606
36.982,124.839775
37.031,120.44566
37.084,117.704765
37.135,118.50865
37.183,119.3142
37.231,119.943535
37.282,120.9433
37.331,122.03403
37.381,123.44877
37.432,125.799675
37.48,127.30116
37.536,127.609146
37.582,129.14917
37.631,133.12244
37.683,136.23239
37.732,140.13478
37.781,144.1436
37.836,146.85448
37.885,149.70345
37.935,152.42918
37.983,155.09953
38.032,157.68518
38.081,159.76862
38.133,162.76262
38.184,165.55115
38.232,166.05176
38.286,164.40443
38.334,158.65584
38.381,151.68729
38.431,149.00462
38.482,144.38947
38.532,139.78075
38.583,137.14995
38.635,136.61479
38.685,137.61319
38.734,140.71118
38.782,143.14508
38.832,144.57259
38.881,146.00179
38.932,147.99461
38.984,150.14899
39.035,153.50256
39.085,158.08939
39.133,162.71902
39.181,168.7318
39.232,176.19469
39.283,182.2212
39.333,186.98425
39.383,188.52919
39.435,188.64418
39.485,186.67839
39.533,186.23407
39.581,186.04974
39.631,187.2211
39.682,189.59518
39.731,191.44891
39.78,194.2833
39.835,197.12392
39.884,200.50427
39.933,201.71603
39.982,204.36993
40.033,207.23277
40.081,212.40388
40.133,217.81961
40.181,224.65314
40.235,231.54619
40.286,240.65517
40.332,249.87978
40.383,258.7228
40.433,265.51517
40.483,271.95627
40.533,276.34207
40.583,277.2787
40.636,273.70068
40.684,265.47952
40.732,255.497
40.783,241.6781
40.833,227.1888
40.882,213.34659
40.933,200.70233
40.982,186.96141
41.038,176.80878
41.084,168.20592
41.132,164.732
41.183,165.0674
41.232,166.51598
41.281,168.28307
41.33,169.0588
41.382,169.04912
41.433,170.18327
41.483,175.05666
41.532,178.7385
41.583,182.34422
41.632,188.58102
41.681,194.34935
41.732,197.69238
41.782,199.74657
41.834,205.32878
41.884,214.74602
41.932,228.06653
41.982,242.6999
42.033,253.09122
42.082,257.64075
42.132,257.86038
