timestamp,x,y,z,quat_x,quat_y,quat_z,quat_w,vx,vy,vz,wx,wy,wz
75.531,0.9791163656733768,1.0037796264031384,7.003360215500193,2.4951668984625552e-08,-7.473879546572598e-06,-0.04821917642494021,0.9988367789429067,0.0,0.0,1.0,0.0,0.0,0.0
75.541,0.9791538947301449,1.0037758265639,7.013434039817652,1.7229241020053967e-08,-7.574034035686782e-06,-0.04821916614694,0.9988367794383263,0.0,0.0,1.0,0.0,0.0,0.0
75.551,0.9791913781567605,1.0037720305194142,7.023507714815412,9.631930845924092e-09,-7.674080964842428e-06,-0.048219155926451984,0.9988367799309601,0.0,0.0,1.0,0.0,0.0,0.0
75.561,0.9792288157942906,1.0037682382908037,7.03358124079543,2.152781004632811e-09,-7.774003506853293e-06,-0.04821914576315527,0.9988367804208236,0.0,0.0,1.0,0.0,0.0,0.0
75.571,0.9792662074841648,1.003764449898934,7.043654618059049,-5.2150856705283694e-09,-7.873782556005288e-06,-0.04821913565673078,0.9988367809079327,0.0,0.0,1.0,0.0,0.0,0.0
75.581,0.9793035530682139,1.003760665364423,7.053727846907006,-1.2478449976817878e-08,-7.973396866938225e-06,-0.048219125606861084,0.9988367813923028,0.0,0.0,1.0,0.0,0.0,0.0
75.591,0.9793408523887112,1.003756884707654,7.063800927639423,-1.964398094867061e-08,-8.072823196067473e-06,-0.04821911561323058,0.9988367818739492,0.0,0.0,1.0,0.0,0.0,0.0
75.601,0.9793781052884188,1.0037531079487856,7.073873860555825,-2.6718221176285743e-08,-8.172036445066048e-06,-0.04821910567552538,0.9988367823528876,0.0,0.0,1.0,0.0,0.0,0.0
75.611,0.9794153116106381,1.0037493351077633,7.083946645955122,-3.370757286020043e-08,-8.2710098059339e-06,-0.04821909579343327,0.9988367828291332,0.0,0.0,1.0,0.0,0.0,0.0
75.621,0.9794524711992619,1.0037455662043289,7.09401928413563,-4.061828462313638e-08,-8.369714907188806e-06,-0.048219085966643774,0.9988367833027015,0.0,0.0,1.0,0.0,0.0,0.0
75.631,0.9794895838988306,1.0037418012580288,7.1040917753950525,-4.745643909764929e-08,-8.468121960721869e-06,-0.048219076194848116,0.9988367837736075,0.0,0.0,1.0,0.0,0.0,0.0
75.641,0.9795266495545913,1.0037380402882266,7.114164120030499,-5.4227941305409586e-08,-8.566199908870549e-06,-0.04821906647773915,0.9988367842418664,0.0,0.0,1.0,0.0,0.0,0.0
75.651,0.9795636680125593,1.0037342833141074,7.124236318338473,-6.093850784122929e-08,-8.663916571272952e-06,-0.04821905681501153,0.9988367847074936,0.0,0.0,1.0,0.0,0.0,0.0
75.661,0.9796006391195806,1.0037305303546895,7.13430837061488,-6.759365687229363e-08,-8.761238791079053e-06,-0.04821904720636143,0.9988367851705038,0.0,0.0,1.0,0.0,0.0,0.0
75.671,0.9796375627233974,1.0037267814288307,7.14438027715503,-7.419869896042639e-08,-8.858132580107302e-06,-0.04821903765148677,0.998836785630912,0.0,0.0,1.0,0.0,0.0,0.0
75.681,0.9796744386727162,1.0037230365552343,7.154452038253636,-8.075872871263383e-08,-8.954563262548854e-06,-0.04821902815008715,0.9988367860887335,0.0,0.0,1.0,0.0,0.0,0.0
75.691,0.979711266817274,1.0037192957524579,7.164523654204813,-8.727861726265e-08,-9.050495616835981e-06,-0.04821901870186372,0.998836786543983,0.0,0.0,1.0,0.0,0.0,0.0
75.701,0.9797480470079081,1.0037155590389193,7.174595125302084,-9.37630055837267e-08,-9.145894015306716e-06,-0.04821900930651933,0.9988367869966752,0.0,0.0,1.0,0.0,0.0,0.0
75.711,0.9797847790966264,1.0037118264329004,7.184666451838377,-1.0021629863050753e-07,-9.240722561313592e-06,-0.048218999963758474,0.9988367874468252,0.0,0.0,1.0,0.0,0.0,0.0
75.721,0.9798214629366768,1.0037080979525546,7.194737634106027,-1.0664266030548321e-07,-9.334945223440904e-06,-0.04821899067328719,0.9988367878944473,0.0,0.0,1.0,0.0,0.0,0.0
75.731,0.9798580983826191,1.0037043736159101,7.204808672396783,-1.1304600924325946e-07,-9.428525966512123e-06,-0.04821898143481316,0.9988367883395561,0.0,0.0,1.0,0.0,0.0,0.0
75.741,0.979894685290393,1.003700653440875,7.214879567001802,-1.1943001540367955e-07,-9.521428879086698e-06,-0.048218972248045666,0.9988367887821665,0.0,0.0,1.0,0.0,0.0,0.0
75.751,0.9799312235173909,1.003696937445241,7.224950318211653,-1.2579809746274056e-07,-9.613618297163405e-06,-0.048218963112695606,0.9988367892222928,0.0,0.0,1.0,0.0,0.0,0.0
75.761,0.979967712506897,1.0036932254536173,7.235014247824753,7.65512258792992e-06,-2.72693569986933e-05,-0.04821883723046393,0.9988367949439605,-0.2642378807067871,-0.13240495324134827,-0.33389344811439514,0.0,0.0,0.08470381051301956
75.771,0.9800040816254811,1.0036894902760638,7.244984900512673,0.0001201340707380292,-0.0002810502809147358,-0.04821707184882445,0.9988368338026337,-0.2642378807067871,-0.13240495324134827,-0.33389344811439514,0.0,0.0,0.08470381051301956
