timestamp,x,y,z,quat_x,quat_y,quat_z,quat_w,vx,vy,vz,wx,wy,wz
59.7,0.9827903655328037,1.0035354594184975,8.010048916487948,-3.864276370572949e-07,-1.3606562624889159e-05,-0.03574124189509147,0.9993610776103443,0.0,0.0,1.0,0.0,0.0,0.0
59.71,0.9828228630206608,1.0035329305683653,8.02010921144855,-3.8945620009848095e-07,-1.3626863153538475e-05,-0.035741236068074306,0.9993610778184647,0.0,0.0,1.0,0.0,0.0,0.0
59.72,0.9828553070991249,1.0035304055012362,8.030169384450131,-3.924173706604258e-07,-1.3646878226511558e-05,-0.035741230273675935,0.9993610780254216,0.0,0.0,1.0,0.0,0.0,0.0
59.73,0.9828876977728146,1.0035278842211581,8.040229435739333,-3.953121079040955e-07,-1.366661960589766e-05,-0.03574122451171418,0.9993610782312219,0.0,0.0,1.0,0.0,0.0,0.0
59.74,0.9829200350468786,1.0035253667320283,8.050289365562305,-3.98141442897481e-07,-1.3686098228387554e-05,-0.035741218782007915,0.999361078435872,0.0,0.0,1.0,0.0,0.0,0.0
59.75,0.9829523189269743,1.0035228530375955,8.060349174164688,-4.009064745426823e-07,-1.3705324206405737e-05,-0.03574121308437701,0.9993610786393777,0.0,0.0,1.0,0.0,0.0,0.0
59.76,0.9829845494192468,1.0035203431414628,8.070408861791647,-4.036083654071853e-07,-1.3724306831541773e-05,-0.035741207418642354,0.999361078841746,0.0,0.0,1.0,0.0,0.0,0.0
59.77,0.9830167265303115,1.00351783704709,8.080468428687825,-4.0624833747388474e-07,-1.3743054580211914e-05,-0.035741201784625795,0.9993610790429823,0.0,0.0,1.0,0.0,0.0,0.0
59.78,0.9830488502672352,1.0035153347577987,8.090527875097385,-4.0882766782427116e-07,-1.376157512147771e-05,-0.03574119618215022,0.9993610792430937,0.0,0.0,1.0,0.0,0.0,0.0
59.79,0.9830809206375226,1.0035128362767731,8.100587201263997,-4.113476842690086e-07,-1.3779875326943459e-05,-0.03574119061103947,0.999361079442086,0.0,0.0,1.0,0.0,0.0,0.0
59.8,0.9831129376491013,1.0035103416070648,8.110646407430837,-4.1380976093992827e-07,-1.3797961282650587e-05,-0.035741185071118384,0.9993610796399655,0.0,0.0,1.0,0.0,0.0,0.0
59.81,0.9831449013103095,1.003507850751595,8.120705493840587,-4.1621531385719554e-07,-1.3815838302883142e-05,-0.03574117956221277,0.999361079836738,0.0,0.0,1.0,0.0,0.0,0.0
