timestamp,e_v_x,e_v_y,e_v_a,e_alpha
61.838,[ 0.60372014  0.52944548 -3.61627961],[ 1.03374102  0.95946636 -3.18625873],[6.3749856  6.30071094 2.15498585],[4.29091854]
61.885,[ 0.6004699   0.52619525 -3.61952984],[ 1.02361667  0.94934201 -3.19638307],[6.33568965 6.26141499 2.11568991],[4.31284316]
61.934,[ 0.5988892   0.52461454 -3.62111055],[ 1.02027546  0.9460008  -3.19972428],[6.31494034 6.24066568 2.09494059],[4.30682671]
61.986,[ 0.59338789  0.51911323 -3.62661185],[ 1.00895125  0.93467659 -3.2110485 ],[6.28054901 6.20627435 2.06054927],[4.30732564]
62.038,[ 0.58507856  0.5108039  -3.63492119],[ 0.99554858  0.92127392 -3.22445117],[6.22709524 6.15282058 2.00709549],[4.32291489]
62.085,[ 0.57470638  0.50043173 -3.64529336],[ 0.97575385  0.90147919 -3.2442459 ],[6.20152469 6.12725003 1.98152494],[4.30745135]
62.135,[ 0.56539224  0.49111758 -3.65460751],[ 0.95395301  0.87967835 -3.26604673],[6.17891858 6.10464392 1.95891883],[4.27462079]
62.19,[ 0.5620329   0.48775824 -3.65796685],[ 0.93896315  0.86468849 -3.2810366 ],[6.14629734 6.07202268 1.92629759],[4.23707075]
62.237,[ 0.54379528  0.46952062 -3.67620447],[ 0.92477563  0.85050098 -3.29522411],[6.10764266 6.033368   1.88764291],[4.23788983]
62.287,[ 0.53521391  0.46093925 -3.68478584],[ 0.9083272   0.83405254 -3.31167255],[6.08817964 6.01390498 1.86817989],[4.19804471]
62.337,[ 0.52198585  0.44771119 -3.6980139 ],[ 0.88858296  0.8143083  -3.33141679],[6.05080268 5.97652802 1.83080293],[4.15115905]
62.384,[ 0.51012445  0.43584979 -3.70987529],[ 0.8776843   0.80340964 -3.34231545],[6.04445713 5.97018247 1.82445738],[4.10462833]
62.435,[ 0.49336391  0.41908925 -3.72663583],[ 0.86340134  0.78912669 -3.3565984 ],[6.00561494 5.93134028 1.78561519],[4.06347478]
62.485,[ 0.47956594  0.40529128 -3.7404338 ],[ 0.8531107   0.77883604 -3.36688905],[5.9781997  5.90392504 1.75819995],[4.01740252]
62.537,[ 0.47449355  0.40021889 -3.7455062 ],[ 0.84785395  0.77357929 -3.3721458 ],[5.96145443 5.88717977 1.74145468],[3.95790153]
62.587,[ 0.47041358  0.39613892 -3.74958617],[ 0.84543337  0.77115871 -3.37456638],[5.93628843 5.86201377 1.71628868],[3.8758278]
62.636,[ 0.45507275  0.3807981  -3.76492699],[ 0.84372923  0.76945457 -3.37627052],[5.91506559 5.84079093 1.69506584],[3.84077207]
62.688,[ 0.43834361  0.36406895 -3.78165613],[ 0.84250025  0.76822559 -3.3774995 ],[5.88526126 5.8109866  1.66526152],[3.83531]
62.737,[ 0.4268373   0.35256264 -3.79316245],[ 0.84379193  0.76951727 -3.37620782],[5.86533709 5.79106243 1.64533734],[3.86334922]
62.786,[ 0.4190331   0.34475844 -3.80096664],[ 0.84363357  0.76935891 -3.37636618],[5.84929082 5.77501616 1.62929107],[3.89328547]
