epoch,loss,mse,val_loss,val_mse
0,0.01996430940926075,0.01996430940926075,0.00767739862203598,0.00767739862203598
1,0.0075088427402079105,0.0075088427402079105,0.006115253549069166,0.006115253549069166
2,0.004002076108008623,0.004002076108008623,0.009180231019854546,0.009180231019854546
3,0.002606187714263797,0.002606187714263797,0.0038436781615018845,0.0038436781615018845
4,0.0017574600642547011,0.0017574600642547011,0.005037058610469103,0.005037058610469103
5,0.0013746413169428706,0.0013746413169428706,0.0024659691844135523,0.0024659691844135523
6,0.0011918996460735798,0.0011918996460735798,0.0019423795165494084,0.0019423795165494084
7,0.0010684715816751122,0.0010684715816751122,0.0019937953911721706,0.0019937953911721706
8,0.0009341019904240966,0.0009341019904240966,0.0018000808777287602,0.0018000808777287602
9,0.0008939694380387664,0.0008939694380387664,0.0019265415612608194,0.0019265415612608194
10,0.0008858909131959081,0.0008858909131959081,0.002055695280432701,0.002055695280432701
11,0.0008851127349771559,0.0008851127349771559,0.002139597898349166,0.002139597898349166
12,0.0008756142342463136,0.0008756142342463136,0.002082973951473832,0.002082973951473832
13,0.00080669648014009,0.00080669648014009,0.002175586298108101,0.002175586298108101
14,0.0007742047891952097,0.0007742047891952097,0.0024646685924381018,0.0024646685924381018
15,0.0007572611211799085,0.0007572611211799085,0.0038194856606423855,0.0038194856606423855
16,0.0007555734482593834,0.0007555734482593834,0.004010690376162529,0.004010690376162529
17,0.0007580484380014241,0.0007580484380014241,0.004213822539895773,0.004213822539895773
18,0.0008787754341028631,0.0008787754341028631,0.0031889232341200113,0.0031889232341200113
19,0.0008569121710024774,0.0008569121710024774,0.002859121421352029,0.002859121421352029
20,0.0009523853659629822,0.0009523853659629822,0.0024021060671657324,0.0024021060671657324
21,0.0008326913812197745,0.0008326913812197745,0.002401010598987341,0.002401010598987341
22,0.0008579247514717281,0.0008579247514717281,0.0023434364702552557,0.0023434364702552557
23,0.0008717929013073444,0.0008717929013073444,0.0022648831363767385,0.0022648831363767385
24,0.0008413192699663341,0.0008413192699663341,0.0022555419709533453,0.0022555419709533453
25,0.0008395073818974197,0.0008395073818974197,0.0022370757069438696,0.0022370757069438696
26,0.000833790865726769,0.000833790865726769,0.0022303827572613955,0.0022303827572613955
27,0.0008298673201352358,0.0008298673201352358,0.002225215081125498,0.002225215081125498
28,0.000824662041850388,0.000824662041850388,0.0022162061650305986,0.0022162061650305986
29,0.0008213800610974431,0.0008213800610974431,0.0022043108474463224,0.0022043108474463224
30,0.0008185156038962305,0.0008185156038962305,0.0022011937107890844,0.0022011937107890844
31,0.0008162074955180287,0.0008162074955180287,0.0021962120663374662,0.0021962120663374662
32,0.0008142674341797829,0.0008142674341797829,0.0021950535010546446,0.0021950535010546446
33,0.0008142869919538498,0.0008142869919538498,0.0021958856377750635,0.0021958856377750635
34,0.0008129908237606287,0.0008129908237606287,0.002196705434471369,0.002196705434471369
35,0.0008130897185765207,0.0008130897185765207,0.0021974975243210793,0.0021974975243210793
36,0.0008141730795614421,0.0008141730795614421,0.0021985038183629513,0.0021985038183629513
37,0.0008135692332871258,0.0008135692332871258,0.002199452603235841,0.002199452603235841
38,0.0008128367480821908,0.0008128367480821908,0.0021997569128870964,0.0021997569128870964
39,0.0008129848865792155,0.0008129848865792155,0.0021999035961925983,0.0021999035961925983
40,0.0008146351901814342,0.0008146351901814342,0.0022000507451593876,0.0022000507451593876
41,0.0008135612006299198,0.0008135612006299198,0.002200136659666896,0.002200136659666896
42,0.0008134117815643549,0.0008134117815643549,0.002200178802013397,0.002200178802013397
43,0.0008130151545628905,0.0008130151545628905,0.002200180198997259,0.002200180198997259
44,0.000812578247860074,0.000812578247860074,0.0022001934703439474,0.0022001934703439474
45,0.0008138540433719754,0.0008138540433719754,0.002200213959440589,0.002200213959440589
46,0.0008137907134369016,0.0008137907134369016,0.0022002537734806538,0.0022002537734806538
47,0.000813877210021019,0.000813877210021019,0.00220023887231946,0.00220023887231946
48,0.000814549159258604,0.000814549159258604,0.0022002304904162884,0.0022002304904162884
49,0.000812841928564012,0.000812841928564012,0.0022002425976097584,0.0022002425976097584
50,0.0008111207280308008,0.0008111207280308008,0.0022002418991178274,0.0022002418991178274
51,0.000812938145827502,0.000812938145827502,0.002200252376496792,0.002200252376496792
52,0.0008135777898132801,0.0008135777898132801,0.0022002519108355045,0.0022002519108355045
53,0.0008148231427185237,0.0008148231427185237,0.002200252143666148,0.002200252143666148
54,0.0008144296589307487,0.0008144296589307487,0.002200246788561344,0.002200246788561344
55,0.0008134902454912663,0.0008134902454912663,0.002200248185545206,0.002200248185545206
56,0.0008112068171612918,0.0008112068171612918,0.0022002472542226315,0.0022002472542226315
57,0.0008128066547214985,0.0008128066547214985,0.0022002472542226315,0.0022002472542226315
58,0.0008112281793728471,0.0008112281793728471,0.0022002465557307005,0.0022002465557307005
59,0.0008132237708196044,0.0008132237708196044,0.0022002465557307005,0.0022002465557307005
60,0.0008143369923345745,0.0008143369923345745,0.002200246322900057,0.002200246322900057
61,0.0008119530393742025,0.0008119530393742025,0.002200246788561344,0.002200246788561344
62,0.0008133823284879327,0.0008133823284879327,0.002200246788561344,0.002200246788561344
63,0.0008123580482788384,0.0008123580482788384,0.002200246788561344,0.002200246788561344
